,年龄,年收入,月基本工资,银行账户数,信用卡数,信用卡利率,获得的贷款数量,平均延迟付款天数,平均延迟付款次数,信用卡限额变化率,信用卡查询次数,剩余债务,信用卡使用率,月投资额,月余额
1,23.0,42527.04,3374.92,8.0,6.0,22.0,7.0,22.0,18.0,18.9,15.0,4193.78,25.8138397,10000.0,169.3377899
2,38.0,35033.11,3041.425833,3.0,5.0,17.0,-100.0,14.0,19.0,19.48,0.0,44.59,41.24177708,52.89472328,414.3840913
3,34.0,87932.96,7206.746667,4.0,3.0,4.0,2.0,13.0,9.0,10.7,3.0,649.7,36.26265036,220.7209889,632.5383961
4,55.0,20257.28,1916.106667,4.0,5.0,16.0,1.0,20.0,11.0,14.39,2.0,966.07,24.37071825,184.2218879,286.6122775
5,42.0,82154.92,6753.243333,6.0,5.0,34.0,6.0,20.0,15.0,22.75,7.0,4726.13,25.69147726,150.5853839,526.3662458
6,33.0,139711.0,11526.58333,6.0,7.0,15.0,6.0,7.0,10.0,11.82,8.0,1090.56,28.41016369,952.3826549,10.30550807
7,17.0,20188.33,1398.360833,7.0,10.0,30.0,-100.0,61.0,23.0,8.67,14.0,2412.24,35.88469728,111.1815895,248.1898732
8,27.0,29344.53,680.3558333,5.0,7.0,10.0,2.0,18.0,13.0,8.19,7.0,779.69,25.73413157,10000.0,397.3866148
9,41.0,8609.79,511.4825,8.0,8.0,28.0,6.0,16.0,23.0,24.1,7.0,3688.7,28.44759963,45.80389092,250.5132522
10,40.0,18694.99,1657.915833,9.0,5.0,21.0,7.0,56.0,10.0,7.97,12.0,1959.49,31.84081127,163.3261292,182.2429886
11,38.0,99664.98,8482.415,5.0,4.0,9.0,1.0,18.0,15.0,7.19,6.0,702.98,32.75975602,190.9880525,825.5801437
12,38.0,35081.49,3047.4575,6.0,6.0,16.0,2.0,23.0,16.0,6.57,0.0,1025.79,37.66249382,93.39688811,409.370311
13,34.0,16173.51,1581.7925,8.0,6.0,17.0,2.0,18.0,10.0,17.59,10.0,751.55,36.9795216,20.23737031,370.1805468
14,27.0,25795.97,1932.664167,3.0,5.0,10.0,2.0,13.0,15.0,11.66,1.0,642.22,30.58148757,38.26688049,379.071917
15,45.0,80377.68,6807.14,10.0,7.0,28.0,5.0,32.0,19.0,2.84,12.0,1385.97,28.23965081,89.09412158,644.9576664
16,46.0,22308.01,1593.000833,5.0,3.0,6.0,3.0,16.0,9.0,13.02,4.0,1228.86,31.5234606,132.2518745,246.2373607
17,44.0,131573.6,11159.46667,3.0,5.0,7.0,4.0,16.0,15.0,4.91,8.0,1384.27,27.99542572,1497.705643,10.30550807
18,31.0,19077.25,1450.770833,10.0,8.0,28.0,6.0,51.0,22.0,7.6,11.0,3851.38,38.51015117,187.5830694,191.5351423
19,27.0,14623.51,1232.625833,9.0,5.0,15.0,7.0,16.0,13.0,19.11,8.0,3607.96,26.30320765,140.7792666,210.7995322
20,39.0,18322.56,1796.88,6.0,5.0,29.0,9.0,37.0,10.0,24.26,9.0,4763.02,29.53288786,119.2094016,236.4421588
21,22.0,29437.24,2645.103333,6.0,7.0,34.0,5.0,15.0,21.0,30.16,14.0,3377.59,25.85990789,100.6909711,297.8150139
22,36.0,68451.12,5578.26,8.0,4.0,8.0,7.0,10.0,10.0,8.75,6.0,1215.29,39.46538004,130.9968977,325.5043284
23,55.0,27175.69,680.3558333,8.0,3.0,17.0,1.0,11.0,10.0,4.47,7.0,1010.89,33.37512402,62.48104335,396.4408919
24,27.0,67648.36,5626.363333,10.0,8.0,34.0,9.0,40.0,17.0,1.58,10.0,4865.81,39.02237736,515.7349943,76.22051188
25,50.0,15305.23,942.6425831,8.0,5.0,3.0,4.0,7.0,19.0,10.57,0.0,1400.42,31.10720135,142.0064879,231.3854726
26,33.0,12025.84,961.1533333,7.0,5.0,17.0,2.0,7.0,10.0,9.72,3.0,1188.36,30.91036837,70.46296303,297.405209
27,31.0,7369.03,680.3558333,8.0,5.0,24.0,2.0,40.0,19.0,0.72,10.0,1643.49,37.43844646,25.52883121,285.8473409
28,43.0,78999.96,6396.33,8.0,5.0,20.0,4.0,45.0,24.0,3.73,16.0,2062.79,31.00356356,84.77523419,656.5971596
29,49.0,20703498.0,680.3558333,7.0,3.0,20.0,-100.0,10.0,16.0,6.48,4.0,374.7,31.96251408,42.14972112,296.5025607
30,22.0,80983.64,6692.636667,6.0,725.0,15.0,4.0,19.0,18.0,16.91,7.0,982.44,39.7145987,264.1791119,496.6279596
31,26.0,94287.36,680.3558333,4.0,4.0,13.0,2.0,27.0,17.0,18.66,2.0,1261.99,28.83988389,157.1865138,740.9984699
32,19.0,108818.2,9177.183333,6.0,5.0,4.0,3.0,25.0,16.0,4.5,6.0,1210.88,26.35959168,807.1160509,183.3152196
33,51.0,44551.13,3539.594167,0.0,5.0,2.0,4.0,6.0,1.0,6.55,0.0,945.42,39.05272211,185.4727816,330.726914
34,36.0,98198.07,8079.1725,1.0,3.0,10.0,3.0,27.0,3.0,2.23,2.0,433.07,30.30314588,1002.161201,10.30550807
35,45.0,37986.18,3046.515,7.0,6.0,25.0,8.0,45.0,16.0,25.21,10.0,3607.64,39.50943765,127.9705806,312.0993858
36,43.0,40403.35,3340.945833,1.0,5.0,3.0,2.0,11.0,10.0,4.94,1.0,303.23,36.51666458,325.6522221,233.2166924
37,18.0,8814.92,680.3558333,10.0,7.0,23.0,8.0,21.0,24.0,0.53,9.0,2079.47,28.19548858,76.487086,248.3674116
38,20.0,73716.2,6214.016667,7.0,3.0,16.0,5.0,10.0,8.0,11.87,10.0,2444.21,37.30131704,10000.0,469.3873401
39,24.0,69905.36,6090.446667,6.0,5.0,14.0,3.0,21.0,19.0,4.59,1.0,1216.15,41.19878051,133.6645727,554.4785201
40,40.0,19723.82,1398.651667,10.0,8.0,23.0,3.0,46.0,16.0,2.45,2352.0,2683.21,31.07612694,132.373477,248.6515927
41,32.0,55246.77,4390.8975,4.0,4.0,20.0,2.0,32.0,10.0,11.19,6.0,1818.27,29.13326659,105.2191368,502.6650069
42,43.0,33030.03,2604.5025,3.0,5.0,4.0,1.0,5.0,10.0,8.52,1.0,1289.96,34.19859151,79.61933025,407.9293411
43,21.0,15167.62,1471.968333,4.0,5.0,3.0,1.0,4.0,5.0,8.36,3.0,847.03,27.43465524,66.59898294,360.6670413
44,28.0,30883.32,2311.61,6.0,5.0,8.0,3.0,15.0,10.0,9.24,9.0,1891.76,36.88588809,309.247003,161.7642986
45,21.0,160838.32,13290.19333,5.0,4.0,12.0,1.0,3.0,6.0,15.37,4.0,156.76,30.20846073,10000.0,434.012924
46,23.0,80411.04,6694.92,8.0,4.0,11.0,1.0,10.0,10.0,5.71,2.0,1413.55,31.06117578,57.04056938,786.7123808
47,30.0,12186.425,991.5354167,6.0,5.0,8.0,1.0,25.0,20.0,8.95,6.0,176.84,37.68638567,16.04929655,313.5198072
