COMPANYCODE	SSNAME	SHAREHDNAME	SHAREHDTYPE	SHARESTYPE	RANK	SCODE	SNAME	RDATE	SHAREHDNUM	LTAG	ZB	NDATE	BZ	BDBL	SHAREHDCODE	SHAREHDRATIO	BDSUM	ZDF10	ZDF30	ZDF60,NOTICEDATE,ATTACHTYPE,ATTACHSIZE,ENDDATE,NOTICETITLE,INFOCODE,CDSY_SECUCODES,ANN_RELCOLUMNS,ANN_RELCODES,EUTIME,TABLEID,Order,Url
,2020-07-21T00:00:00+08:00,0,5137.0,2020-07-21T00:00:00+08:00,博深股份:发行股份及支付现金购买资产并募集配套资金暨关联交易报告书(修订稿),AN202007211393094586,"[{'SECURITYVARIETYCODE': '1000007926', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002282', 'SECURITYFULLNAME': '博深股份', 'SECURITYSHORTNAME': '博深股份', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80123304', 'Eid': 0}]","[{'COLUMNCODE': '001002001002007002', 'COLUMNNAME': '其他增发事项公告', 'NodeName': None, 'Eid': 0, 'Order': 153}, {'COLUMNCODE': '001002007003004', 'COLUMNNAME': '收购出售资产/股权', 'NodeName': None, 'Eid': 0, 'Order': 399}, {'COLUMNCODE': '001002007005', 'COLUMNNAME': '关联交易', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}, {'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}, {'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:53:07+08:00,2.070000083045926e+17,153.0,"http://data.eastmoney.com/notices/detail/002282/AN202007211393094586,JWU1JThkJTlhJWU2JWI3JWIxJWU4JTgyJWExJWU0JWJiJWJk.html"
,2020-07-21T00:00:00+08:00,0,281.0,2020-07-21T00:00:00+08:00,博深股份:关于发行股份及支付现金购买资产并募集配套资金暨关联交易报告书的修订说明公告,AN202007211393094592,"[{'SECURITYVARIETYCODE': '1000007926', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002282', 'SECURITYFULLNAME': '博深股份', 'SECURITYSHORTNAME': '博深股份', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80123304', 'Eid': 0}]","[{'COLUMNCODE': '001002008', 'COLUMNNAME': '其他', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:52:50+08:00,2.0700000830459264e+17,999.0,"http://data.eastmoney.com/notices/detail/002282/AN202007211393094592,JWU1JThkJTlhJWU2JWI3JWIxJWU4JTgyJWExJWU0JWJiJWJk.html"
,2020-07-21T00:00:00+08:00,0,648.0,2020-07-21T00:00:00+08:00,博深股份:发行股份及支付现金购买资产并募集配套资金暨关联交易报告书(修订稿)摘要,AN202007211393094588,"[{'SECURITYVARIETYCODE': '1000007926', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002282', 'SECURITYFULLNAME': '博深股份', 'SECURITYSHORTNAME': '博深股份', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80123304', 'Eid': 0}]","[{'COLUMNCODE': '001002001002007002', 'COLUMNNAME': '其他增发事项公告', 'NodeName': None, 'Eid': 0, 'Order': 153}, {'COLUMNCODE': '001002007003004', 'COLUMNNAME': '收购出售资产/股权', 'NodeName': None, 'Eid': 0, 'Order': 399}, {'COLUMNCODE': '001002007005', 'COLUMNNAME': '关联交易', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}, {'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}, {'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:52:42+08:00,2.0700000830459264e+17,153.0,"http://data.eastmoney.com/notices/detail/002282/AN202007211393094588,JWU1JThkJTlhJWU2JWI3JWIxJWU4JTgyJWExJWU0JWJiJWJk.html"
,2020-07-21T00:00:00+08:00,0,198.0,2020-07-21T00:00:00+08:00,博深股份:关于中国证监会上市公司并购重组审核委员会审核意见的回复公告,AN202007211393094587,"[{'SECURITYVARIETYCODE': '1000007926', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002282', 'SECURITYFULLNAME': '博深股份', 'SECURITYSHORTNAME': '博深股份', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80123304', 'Eid': 0}]","[{'COLUMNCODE': '001003002001', 'COLUMNNAME': '保荐/核查意见', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:50:23+08:00,2.0700000830459264e+17,999.0,"http://data.eastmoney.com/notices/detail/002282/AN202007211393094587,JWU1JThkJTlhJWU2JWI3JWIxJWU4JTgyJWExJWU0JWJiJWJk.html"
,2020-07-21T00:00:00+08:00,0,540.0,2020-07-21T00:00:00+08:00,博深股份:关于发行股份及支付现金购买资产并募集配套资金暨关联交易并购重组委会议审核意见的回复,AN202007211393094590,"[{'SECURITYVARIETYCODE': '1000007926', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002282', 'SECURITYFULLNAME': '博深股份', 'SECURITYSHORTNAME': '博深股份', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80123304', 'Eid': 0}]","[{'COLUMNCODE': '001003002001', 'COLUMNNAME': '保荐/核查意见', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:50:23+08:00,2.0700000830459264e+17,999.0,"http://data.eastmoney.com/notices/detail/002282/AN202007211393094590,JWU1JThkJTlhJWU2JWI3JWIxJWU4JTgyJWExJWU0JWJiJWJk.html"
,2020-07-21T00:00:00+08:00,0,441.0,2020-07-21T00:00:00+08:00,博深股份:东方证券承销保荐有限公司关于《博深股份有限公司关于发行股份及支付现金购买资产并募集配套资金暨关联交易并购重组委会议审核意见的回复》之独立核查意见,AN202007211393094591,"[{'SECURITYVARIETYCODE': '1000007926', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002282', 'SECURITYFULLNAME': '博深股份', 'SECURITYSHORTNAME': '博深股份', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80123304', 'Eid': 0}]","[{'COLUMNCODE': '001003002001', 'COLUMNNAME': '保荐/核查意见', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002282', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:50:23+08:00,2.0700000830459264e+17,999.0,"http://data.eastmoney.com/notices/detail/002282/AN202007211393094591,JWU1JThkJTlhJWU2JWI3JWIxJWU4JTgyJWExJWU0JWJiJWJk.html"
,2020-07-21T00:00:00+08:00,0,122.0,2020-07-21T00:00:00+08:00,先河环保:关于回购股份事项前十名股东和前十名无限售条件股东持股情况的公告,AN202007211393093721,"[{'SECURITYVARIETYCODE': '1000008209', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '300137', 'SECURITYFULLNAME': '先河环保', 'SECURITYSHORTNAME': '先河环保', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002002', 'TRADEMARKET': '深交所创业板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80153529', 'Eid': 0}]","[{'COLUMNCODE': '001002007003009004', 'COLUMNNAME': '回购进展情况', 'NodeName': None, 'Eid': 0, 'Order': 435}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002002', 'SECURITYCODE': '300137', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:46:14+08:00,2.0700000830457306e+17,435.0,"http://data.eastmoney.com/notices/detail/300137/AN202007211393093721,JWU1JTg1JTg4JWU2JWIyJWIzJWU3JThlJWFmJWU0JWJmJTlk.html"
,2020-07-21T00:00:00+08:00,0,345.0,2020-07-21T00:00:00+08:00,英派斯:关于使用闲置自有资金进行现金管理的进展公告,AN202007211393093661,"[{'SECURITYVARIETYCODE': '1000734418', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002899', 'SECURITYFULLNAME': '英派斯', 'SECURITYSHORTNAME': '英派斯', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80509331', 'Eid': 0}]","[{'COLUMNCODE': '001002006012003', 'COLUMNNAME': '投资理财', 'NodeName': None, 'Eid': 0, 'Order': 327}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002899', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:46:02+08:00,2.070000083045728e+17,327.0,"http://data.eastmoney.com/notices/detail/002899/AN202007211393093661,JWU4JThiJWIxJWU2JWI0JWJlJWU2JTk2JWFm.html"
,2020-07-21T00:00:00+08:00,0,183.0,2020-07-21T00:00:00+08:00,安洁科技:关于重庆安洁电子有限公司完成工商变更登记的公告,AN202007211393093659,"[{'SECURITYVARIETYCODE': '1000009180', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '002635', 'SECURITYFULLNAME': '安洁科技', 'SECURITYSHORTNAME': '安洁科技', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002003', 'TRADEMARKET': '深交所中小板', 'LISTINGSTATE': '0', 'COMPANYCODE': '80187276', 'Eid': 0}]","[{'COLUMNCODE': '001002005004', 'COLUMNNAME': '公司关联方基本资料变更', 'NodeName': None, 'Eid': 0, 'Order': 279}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002003', 'SECURITYCODE': '002635', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:45:54+08:00,2.070000083045728e+17,279.0,"http://data.eastmoney.com/notices/detail/002635/AN202007211393093659,JWU1JWFlJTg5JWU2JWI0JTgxJWU3JWE3JTkxJWU2JThhJTgw.html"
,2020-07-21T00:00:00+08:00,0,195.0,2020-07-21T00:00:00+08:00,*ST华映:关于公司股东所持部分股份被司法变卖的进展公告,AN202007211393093688,"[{'SECURITYVARIETYCODE': '1000002270', 'SECURITYTYPECODE': '058001001', 'SECURITYCODE': '000536', 'SECURITYFULLNAME': '*ST华映', 'SECURITYSHORTNAME': '*ST华映', 'SECURITYTYPE': 'A股', 'TRADEMARKETCODE': '069001002005', 'TRADEMARKET': '深交所风险警示板', 'LISTINGSTATE': '0', 'COMPANYCODE': '10000878', 'Eid': 0}]","[{'COLUMNCODE': '001002008', 'COLUMNNAME': '其他', 'NodeName': None, 'Eid': 0, 'Order': 999}]","[{'CODETYPE': '058001001', 'CODEMARKET': '069001002005', 'SECURITYCODE': '000536', 'COMPANYCODE': None, 'Eid': 0}]",2020-07-21T11:45:35+08:00,2.0700000830457283e+17,999.0,"http://data.eastmoney.com/notices/detail/000536/AN202007211393093688,KlNUJWU1JThkJThlJWU2JTk4JWEw.html"
