id,code,name,is985,is211,areaCode,areaName,type,typeName,ranking,phoneNo,officialWebsite,maleProportion,femaleProportion,descr,smallImgUrl,bigImgUrl,address,isAd,isTop,isGraduate,isCivilianrun,isIndependent,superior,superiorName,genre,genreName,summary,updateTime,status,isVip,zydm,zydh,zymc,zsjh,sxkm,zxkm,zxkmmc,zyzdh,zyzmc
306,10624,中国民用航空飞行学院,,,510000,四川省,2,工科,10306,0838-5182078,zsc.cafuc.edu.cn,,,"""中国民用航空飞行学院（Civil Aviation Flight University of China）位于成都平原的腹地——四川省广汉市，是中央部属高校、联合国重点推广的“MPL”课程试点单位，被誉为中国民航飞行员的“摇篮”、中国民航管理干部的“黄埔”。学校前身是创建于1956年的中国民用航空局航空学校，同年9月，更名为中国人民解放军第十四航空学校，后又以中国民用航空高级航校、中国民用航空飞行专科学校为校名。1987年11月，升格为本科院校，更名为中国民用航空飞行学院。根据2015年4月学校官网显示，学校占地17000多亩，建筑面积150多万平方米；固定资产总值超过90亿元（不含土地资产值），其中教学仪器设备总值62亿元；建有5个机场，配有奖状、夏延、新舟600、西门诺尔、TB、赛斯纳-172等14种，共236架初、中、高级教练机和包括波音737-300、800、空客320等在内的全飞行模拟机、固定模拟机和练习器35台，有各型航空发动机400余台以及中国民航高校中唯一的360度全视景塔台指挥系统；馆藏图书超过100万册、电子图书超过300万册、国内外数据库33个；有教职员工3300人，其中，具有高级职称的教师400余人，有博士、硕士学位的中青年教师占教师总数的75%以上；下设10个教学系部，开设有20个本科专业、6个专科专业。""",/photo/edu/logo/480.png,/photo/edu/university/480pic.png,四川省广汉市南昌路四段46号,,,,,,2,其它部委,0,公办院校,,2021-06-15T11:09:59,1,,,,,,,,,,
1101,10284,南京大学,1,1,320000,江苏省,1,综合,1101,4001859680,bkzs.nju.edu.cn,61,39,"""南京大学（Nanjing University），简称“南大”，是教育部直属、中央直管副部级建制的全国重点大学，国家首批“211工程”、“985工程”高校，首批“珠峰计划”、“111计划”、“2011计划”、“卓越计划”实施高校，也是九校联盟、中国大学校长联谊会、环太平洋大学联盟、21世纪学术联盟和东亚研究型大学协会的重要成员。南京大学是中国第一所集教学和研究于一体的现代大学，其学脉可追溯自孙吴永安元年（258年）的南京太学，近代校史肇始于1902年筹办的三江师范学堂，先后历经多次变迁。1920年在中国国立高等学府中首开“女禁”，引领男女同校之风。最早在中国开展现代学术研究，建立中国最早的现代科学研究实验室，成为中国最早的以大学自治、学术自由、文理为基本兼有农工商等专门应用科、集教学和研究于一体为特征的现代大学。《学衡》月刊的创办，使得南京大学成为中西学术文化交流的中心，被誉为“东方教育的中心”。1949年由民国时期中国最高学府“国立中央大学”易名“国立南京大学”，翌年径称“南京大学”，沿用至今。南京大学是中国现代科学的发祥地，是哈佛大学白碧德主义影响下的中国“学衡派”的雅集地，被誉为“中国科学社的大本营和科学发展的主要基地”，被杨振宁称赞为“中国最顶尖的大学”，也是“985工程”首批九所高水平大学中唯一未合并其他院校的高校，坚持“内涵发展”，保持“原汁原味”办学优势与特色，赢得社会“中国最温和的大学”之美誉。""",/photo/edu/logo/200.png,/photo/edu/university/200pic.png,南京市栖霞区仙林大道163号本科招生办公室,1,3,1,,,1,教育部,0,公办院校,,2020-04-21T13:32:35,1,,,,,,,,,,
1102,10286,东南大学,1,1,320000,江苏省,1,综合,1102,4006910286,zsb.seu.edu.cn,68,32,"""东南大学（Southeast University），简称东大，位于江苏省省会南京市，是中央直管、教育部直属的副部级全国重点大学，著名的建筑老八校及原四大工学院之一，国家“211工程”、“985工程”首批重点建设的大学，是“卓越工程师教育培养计划”、“卓越医生教育培养计划”、“2011计划”、“111计划”入选高校，“卓越大学联盟”、“中俄工科大学联盟”、“中欧工程教育平台”主要成员。东南大学是中国最早建立的高等学府之一，素有“学府圣地”和“东南学府第一流”之美誉，其前身是创建于1902年的三江师范学堂。1921年经郭秉文先生竭力倡导，以南京高等师范学校为基础正式建立国立东南大学，后经历了国立第四中山大学工学院、国立中央大学工学院、南京大学工学院等历史时期。1952年全国院系调整，以原中央大学工学院为主体，先后并入复旦大学、交通大学、浙江大学、金陵大学等校的有关系科，在中央大学本部原址建立了南京工学院。1988年5月，学校更名为东南大学。2000年4月，原东南大学、南京铁道医学院、南京交通高等专科学校合并，南京地质学校并入，组建新的东南大学。截至2016年3月，东南大学占地面积5888亩，建有四牌楼、九龙湖、丁家桥等校区；设有29个院（系），拥有75个本科专业；有全日制在校生30000余人，其中研究生14440余人，在校留学生人数达到1813人，已发展为一所以工科为主，理学、工学、医学、文学、法学、哲学、教育学、经济学、管理学等多学科协调发展的综合性研究型大学。""",/photo/edu/logo/203.png,/photo/edu/university/203pic.png,南京市江宁区东南大学路2号,1,3,1,,,1,教育部,0,公办院校,,2020-04-21T13:32:35,1,1,,,,,,,,,
1103,10287,南京航空航天大学,,1,320000,江苏省,2,工科,1103,025-84892899 4001810287,zs.nuaa.edu.cn,70,30,"""南京航空航天大学（Nanjing University of Aeronautics and Astronautics），简称南航（NUAA），是中华人民共和国工业和信息化部直属的一所具有航空航天民航特色、以理工类为主的综合性全国重点大学，是国家“211工程”、“985工程优势学科创新平台”重点建设高校之一，是“卓越工程师教育培养计划”、“111计划”入选高校之一，“中俄交通大学联盟”成员，设有研究生院。学校前身是1952年10月以511厂为基础创建的南京航空工业专科学校，是新中国自己创办的第一批航空高等院校之一；1978年被国务院确定为全国重点大学；1981年经国务院批准成为全国首批具有博士学位授予权的高校；2012年12月，工业和信息化部、中国民用航空局签署协议共建南京航空航天大学。截至2015年5月，学校建有明故宫和将军路两个校区，占地面积2154亩，建筑面积99.02万平方米，图书馆馆藏图书近254万册（件）。现有教职工3061人，其中院士及双聘院士10人，“千人计划”5人，“长江学者”14人，全日制在校生27000余人，其中本科生18000余人，研究生8000余人，学位留学生770余人，成人教育学生10000余人。“效法羲和驭天马，志在长空牧群星”。在新的发展时期，南航将坚持“以航空为本、促进特色发展”的办学理念，继往开来、开拓创新，以昂扬的姿态向着高水平研究型大学的奋斗目标阔步前进。""",/photo/edu/logo/205.png,/photo/edu/university/205pic.png,南京市御道街29号,1,2,1,,,2,其它部委,0,公办院校,,2020-04-21T13:32:35,1,,,,,,,,,,
1104,10288,南京理工大学,,1,320000,江苏省,2,工科,1104,4001102882,zsb.njust.edu.cn,,,"""南京理工大学（Nanjing University of Science and Technology）隶属于国家工业和信息化部，学校位于江苏省南京市，北依紫金山，西临明城墙，素有“兵器技术人才摇篮”的美誉。 学校创建于1953年，前身是中国人民解放军军事工程学院（“哈军工”）炮兵工程系，经历炮兵工程学院、华东工程学院、华东工学院等发展阶段，1993年，更名为南京理工大学。学校占地3118亩，校园内林木葱茏，碧草如茵，校舍建筑总面积112万平方米，设有机械工程学院、化工学院、电子工程与光电技术学院、计算机科学与工程学院、能源与动力工程学院、材料科学与工程学院、环境与生物工程学院等15个专业学院，现有教职工3200余人，专任教师1900余人，教授、副教授1200余人。""",/photo/edu/logo/207.png,/photo/edu/university/207pic.png,南京市玄武区孝陵卫200号,1,2,1,,,2,其它部委,0,公办院校,,2020-04-27T16:08:06,1,,,,,,,,,,
1105,10294,河海大学,,1,320000,江苏省,2,工科,1105,025-58099483,zsw.hhu.edu.cn,66,34,"""河海大学是一所有百年办学历史，以水利为特色，工科为主，多学科协调发展的教育部直属，教育部、水利部、国家海洋局与江苏省人民政府共建的全国重点大学，是国家首批授权授予学士、硕士和博士学位，国家“211工程”重点建设、”985工程优势学科创新平台“建设以及设立研究生院的高校，拥有水文水资源与水利工程科学国家重点实验室和水资源高效利用与工程安全国家工程研究中心。河海大学的前身可以追溯到1915年创建于南京的“河海工程专门学校”，1952年南京大学水利系、交通大学水利系、同济大学土木系水利组、浙江大学土木系水利组以及华东水利专科学校合并成立“华东水利学院”。1960年成为全国32所工科重点大学之一。1985年恢复“河海“传统校名，并由邓小平同志亲笔题写。河海大学校本部坐落于南京市鼓楼区，并在常州市新北区、南京市江宁区设有校区，占地面积2580余亩。截止2015年底，有教职工3409名，具有高级职称的教师1079名，博士生导师364名；有中国工程院院士2名，双聘院士15名；各类学历教育在校学生50344名，其中研究生15895名，普通本科生19917名，成人教育学生13948名，留学生584名。""",/photo/edu/logo/220.png,/photo/edu/university/220pic.png,南京市江宁区佛城西路8号,1,2,1,,,1,教育部,0,公办院校,,2021-06-22T12:02:03,1,,,,,,,,,,
1106,10300,南京信息工程大学,,,320000,江苏省,1,综合,1106,025-58731378,zs.nuist.edu.cn,57,43,"""南京信息工程大学（Nanjing University of Information Science & Technology）享有“中国气象人才摇篮”之美誉，由江苏省人民政府、中华人民共和国教育部、中国气象局、国家海洋局共建，入选“2011计划”、“特色重点学科项目”、“卓越工程师教育培养计划”，具有完整的学士、硕士、博士教育培养体系，为世界气象组织成员，是一所以大气科学为特色，海洋、信息、环境、管理等多学科协调发展的全国重点大学。南京信息工程大学前身南京气象学院始建于1960年，1978年为全国重点大学； 1990年，承办了世界气象组织（WMO）第一个国际培训班—— 世界气象组织南京区域培训中心；2004年更名为南京信息工程大学。截至2015年5月，学校校园占地2189亩，图书馆馆藏纸质文献199万余册，数据库总量达36种；有全日制在校本科生3万多人，教师1500多人；下设22个院（部），开办55个本科专业。""",/photo/edu/logo/231.png,/photo/edu/university/231pic.png,南京市宁六路219号,1,2,,,,3,地方,0,公办院校,,2021-06-08T09:05:06,1,,,,,,,,,,
1107,10307,南京农业大学,,1,320000,江苏省,3,农业,1107,025-84399789 84395708,zsxx.njau.edu.cn,55,45,"""南京农业大学（Nanjing Agricultural University）坐落于钟灵毓秀、虎踞龙蟠的古都南京，是一所以农业和生命科学为优势和特色，农、理、经、管、工、文、法学多学科协调发展的教育部直属全国重点大学，是国家“211工程”和“985工程优势学科创新平台”重点建设高校之一，是高水平行业特色大学优质资源共享联盟成员高校，国家首批卓越农林人才教育培养计划改革试点高校。南京农业大学前身可溯源至1902年三江师范学堂农业博物科和1914年私立金陵大学农学本科。1952年，全国高校院系调整，由金陵大学农学院、南京大学农学院以及浙江大学农学院部分系科合并成立南京农学院。1963年被确定为全国两所重点农业高校之一。1984年更名为南京农业大学。2000年由农业部独立建制划转教育部。截至2015年3月，学校设有21个学院（部）、62个本科专业、32个硕士授权一级学科、16个博士授权一级学科和15个博士后流动站；全日制本科生17000余人，研究生9400余人，继续教育本专科生16000余人，教职员工2700余人。学校校区总面积9平方公里，建筑面积72万平方米，资产总值35亿元，图书资料收藏量超过229万册（部），拥有外文期刊1万余种和中文电子图书100余万种。学校有12个一级学科在教育部第三轮学科评估中排名全国前十，其中作物学和农业资源与环境排名全国第一。""",/photo/edu/logo/250.png,/photo/edu/university/250pic.png,南京市卫岗1号,,2,1,,,1,教育部,0,公办院校,,2020-07-21T21:28:48,1,,,,,,,,,,
1108,10319,南京师范大学,,1,320000,江苏省,6,师范,1108,025-83720759,bkzs.njnu.edu.cn,43,57,"""南京师范大学（Nanjing Normal University），简称南师大，坐落于六朝古都南京市，由江苏省人民政府和中华人民共和国教育部共建，是国家“211工程”重点建设高校，入选“国家建设高水平大学公派研究生项目”、“卓越教师培养计划”、“卓越法律人才教育培养计划”，是中国高等师范教育的发祥地之一。学校主源可追溯到1902年创办的三江师范学堂，后历经两江优级师范学堂、南京高等师范学校、国立东南大学、国立第四中山大学、国立江苏大学、国立中央大学、国立南京大学、南京大学等时期；其另一源头为1888年创办的汇文书院，后发展为私立金陵大学，1951年与私立金陵女子文理学院（曾称私立金陵女子大学）合并，成立公立金陵大学。1952年全国高校院系调整，以原南京大学、金陵大学等有关院系为基础，在原金陵女子大学校址组建南京师范学院。1984年更名为南京师范大学。1996年进入国家“211工程”高校行列。2000年南京动力高等专科学校并入。截至2015年11月，南京师范大学拥有仙林、随园、紫金三个校区，随园校区有“东方最美丽的校园”之称，总占地面积2009906平方米，建筑总面积1053697平方米；设有二级学院26个，开办本科专业99个，拥有一级学科博士点23个，一级学科硕士点37个，7个学科在全国第三轮学科评估中进入全国前十，4个学科跻身ESI全球前1%；共有在职教职工3240人，在校普通本科生16314人，研究生10514人，留学生1600余人，成人高等学历教育在籍生5216人。""",/photo/edu/logo/257.png,/photo/edu/university/257pic.png,南京市文苑路1号,,2,,,,3,地方,0,公办院校,,2020-04-21T13:32:35,1,,,,,,,,,,
1109,10316,中国药科大学,,1,320000,江苏省,5,医药,1109,025-83271319 83271422,zb.cpu.edu.cn,43,57,"""中国药科大学（China Pharmaceutical University）是中华人民共和国教育部直属的一所以药学为特色的全国重点大学，是国家“211工程”高校之一，是“111计划”、“卓越工程师教育培养计划”入选高校，是中国首批具有博士、硕士学位授予权的高等学校。学校前身系创建于1936年国立药学专科学校（本科四年制），1952年，齐鲁大学药学系和东吴大学药学专修科并入成立华东药学院；1956年更名为南京药学院，1986年与筹建中的南京中药学院合并，成立中国药科大学。截至2015年12月，学校全日制在校生15449人，其中本专科生11749人，研究生3491人，留学生209人。地处历史文化名城南京，现有玄武门、江宁2个校区，占地近2200亩。建筑面积50余万平方米。""",/photo/edu/logo/255.png,/photo/edu/university/255pic.png,南京市江宁区龙眠大道639号,,2,,,,1,教育部,0,公办院校,,2021-06-08T09:05:07,1,,,,,,,,,,
