学校名称,求和项:jhs,计数项:yxdh,求和项:2020招生计划,求和项:2020学校最低位次,2021招生计划,2021学校最低位次
清华大学,2,2,4,4,2,2
北京大学,28,15,420,510,28,34
上海交通大学,1,1,2,68,2,68
复旦大学,34,6,150,672,25,112
南京大学,140,4,484,1184,121,296
浙江大学,36,2,82,688,41,344
北京师范大学,16,8,120,3136,15,392
武汉大学,40,12,480,5232,40,436
同济大学,14,2,34,1022,17,511
中国人民大学,43,14,322,7400,23,528.5714286
华东师范大学,49,21,945,11865,45,565
厦门大学,26,12,276,6780,23,565
上海财经大学,26,8,192,4520,24,565
南开大学,26,6,132,3720,22,620
东南大学,64,3,120,2076,40,692
中国政法大学,42,14,574,9688,41,692
中山大学,30,3,81,2076,27,692
中央财经大学,20,8,152,6088,19,761
对外经济贸易大学,27,7,175,5957,25,851
华东政法大学,39,9,342,7659,38,851
上海外国语大学,46,19,836,16169,44,851
四川大学,30,11,429,10527,39,957
北京理工大学,12,1,6,1066,6,1066
华南理工大学,12,7,77,7462,11,1066
华中科技大学,38,7,217,7462,31,1066
西安交通大学,9,2,6,2132,3,1066
中南大学,23,4,96,5200,24,1300
重庆大学,10,4,60,5200,15,1300
北京交通大学,7,4,32,5720,8,1430
中南财经政法大学,68,15,1005,23265,67,1551
中央民族大学,23,11,176,17061,16,1551
北京电影学院,2,1,2,1694,2,1694
吉林大学,32,11,429,18634,39,1694
西南财经大学,30,16,512,27104,32,1694
北京外国语大学,20,9,171,16731,19,1859
中国传媒大学,16,6,84,12042,14,2007
北京中医药大学,8,8,16,17192,2,2149
南京航空航天大学,135,4,380,8596,95,2149
西南政法大学,49,10,540,21490,54,2149
东华大学,43,6,126,13830,21,2305
山东大学,40,10,440,23050,44,2305
湖南大学,26,13,338,32279,26,2483
南京师范大学,760,32,21600,91072,675,2846
大连理工大学,17,3,54,9321,18,3107
华东理工大学,78,7,462,21749,66,3107
河海大学,205,16,1232,53536,77,3346
暨南大学,30,10,170,33460,17,3346
兰州大学,29,8,208,26768,26,3346
南京理工大学,37,5,150,16730,30,3346
山东大学威海分校,23,5,125,16730,25,3346
苏州大学,825,33,23397,110418,709,3346
西北工业大学,11,2,16,6692,8,3346
中国海洋大学,13,8,112,26768,14,3346
北京科技大学,15,3,45,10869,15,3623
南京中医药大学,423,20,600,72460,30,3623
东北大学,9,2,20,7732,10,3866
东北师范大学,5,4,8,15464,2,3866
南京农业大学,165,13,1807,50258,139,3866
陕西师范大学,21,6,108,23196,18,3866
上海对外经贸大学,13,6,78,23196,13,3866
首都经济贸易大学,5,3,12,11598,4,3866
西南大学,15,12,252,46392,21,3866
北京林业大学,25,14,210,57666,15,4119
北京语言大学,9,8,72,32952,9,4119
湖南师范大学,42,14,518,57666,37,4119
华南师范大学,10,3,21,12357,7,4119
江南大学,186,10,1550,41190,155,4119
郑州大学,10,6,120,24714,20,4119
安徽大学,31,10,330,44010,33,4401
深圳大学,11,8,88,35208,11,4401
首都师范大学,8,4,32,17604,8,4401
西南交通大学,22,6,150,26406,25,4401
浙江师范大学,7,3,18,13203,6,4401
大连海事大学,13,4,56,18808,14,4702
福州大学,14,6,84,28212,14,4702
海南大学,25,15,360,70530,24,4702
华中师范大学,29,9,261,42318,29,4702
上海政法学院,36,19,684,89338,36,4702
西北大学,20,8,192,37616,24,4702
西北农林科技大学,13,12,72,56424,6,4702
西北政法大学,50,6,300,28212,50,4702
中国矿业大学,87,9,327,44088,36.33333333,4898.666667
北京化工大学,13,3,36,14991,12,4997
南昌大学,24,8,184,39976,23,4997
武汉理工大学,35,6,180,29982,30,4997
中国地质大学,6,5,35,24985,7,4997
中国药科大学,126,2,80,9994,40,4997
辽宁大学,16,12,180,63852,15,5321
长安大学,7,6,54,31926,9,5321
华北电力大学,15,8,76,45236,9.5,5654.5
河北工业大学,3,3,18,16980,6,5660
华中农业大学,20,4,76,22640,19,5660
中国石油大学(北京),6,2,16,11320,8,5660
合肥工业大学,17,7,62,41576,8.857142857,5939.428571
上海立信会计金融学院,28,13,377,77857,29,5989
浙江工商大学,33,13,403,77857,31,5989
广东外语外贸大学,17,13,260,82056,20,6312
杭州师范大学,12,4,40,25248,10,6312
江西财经大学,21,12,276,75744,23,6312
北京第二外国语学院,14,7,70,46662,10,6666
东北林业大学,7,3,21,21117,7,7039
贵州大学,4,2,8,14078,4,7039
宁波大学,2,1,3,7039,3,7039
北京体育大学,17,16,352,119136,22,7446
南京财经大学,838,25,18000,186150,720,7446
南京审计大学,815,25,16625,186150,665,7446
四川外国语大学,18,14,336,104244,24,7446
中国农业大学,8,6,30,44676,5,7446
东北农业大学,3,2,8,15714,4,7857
汕头大学,10,7,70,54999,10,7857
天津财经大学,16,7,112,54999,16,7857
上海海事大学,12,5,50,41450,10,8290
大连外国语大学,16,12,204,104736,17,8728
湘潭大学,33,14,336,122192,24,8728
河南大学,22,8,152,73768,19,9221
济南大学,19,9,180,82989,20,9221
南京信息工程大学,509,15,6855,138315,457,9221
