id,pcid,cid,招生代码,zstype,coname,conamememo,bdenji,选测等级,xdenjinuma,xdenjinumb,xdenjicanchange,diploma,yearno,ty,pici,source_pici,source_zscode,招生专业代码,specname,specflag,specnamememo,specnamememolq,specnamememoplan,specnamememolq,specnamememoplan,招生计划增减,xuezi,xuefei,xuancei,sid,speccode,scateid,stypebig,stypesmall,计划招生,录取人数,最高分,最低分,分差,位次,segmenttotalman,linescore,zypingxing,zyzhengqiu,zyfucong,lastplannum,lastlqnum,2018最高分,2018最低分,2018分差,2018位次,lastsegmenttotalman,lastlinescore,lastzypingxing,lastzyzhengqiu,lastzyfucong,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,分差2019,位次2019,分差2018,位次2018,分差2017,位次2017,分差2016,位次2016,分差2015,位次2015,isok
291571,43170,1,3103,,清华大学,(北京),5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,1,文科试验班类,310225900,100326413,(经济、金融与管理),(经济、金融与管理),文科试验班类(经济、金融与管理),,0,四,5000,√√√√,0,,0,,,1,1,411,411,72,1,20,339,1,0,0,1,3,418,414,77,0,0,337,3,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,77,0,86,0,55,0,0,0,1
291544,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,7,文科试验班类,310225852,100326388,,,文科试验班类,,0,四,5300,√×××,0,,0,,,1,3,418,411,72,1,20,339,3,0,0,1,1,415,415,78,0,0,337,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,78,0,81,0,57,0,64,20,1
291545,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,8,中国语言文学类,110225851,100326389,,,中国语言文学类,,0,四,5000,√×××,2328,50100,113,文学,中国语言文学类,2,1,412,412,73,0,0,339,1,0,0,2,2,412,412,75,0,0,337,2,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,75,0,76,19,55,0,59,0,1
291546,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,9,考古学,310225850,100326390,,,考古学,,0,四,5000,√×××,114,60103,116,历史学,历史学类,1,0,0,0,0,0,0,339,0,0,0,1,1,408,408,71,0,0,337,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,71,0,72,28,0,0,0,0,1
291547,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,10,历史学类,110225849,100326391,,,历史学类,,0,四,5000,√×××,2335,60100,116,历史学,历史学类,1,1,409,409,70,26,4,339,1,0,0,1,1,409,409,72,0,0,337,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,72,0,72,28,52,30,59,0,1
291548,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,11,哲学类,210225848,100326392,,,哲学类,,0,四,5000,√×××,3035,10100,100,哲学,哲学类,1,0,0,0,0,0,0,339,0,0,0,1,1,408,408,71,0,0,337,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,71,0,0,0,0,0,0,0,1
291549,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,12,社会学类,220000813,100326393,,,社会学类,,-1,四,5000,√×××,2299,30300,107,法学,社会学类,1,1,411,411,72,1,20,339,1,0,0,2,3,411,408,71,0,0,337,3,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,71,0,0,0,0,0,0,0,1
291550,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,13,国际政治,110225842,100326394,,,国际政治,,0,四,5000,√×××,16,30202,106,法学,政治学类,1,3,411,409,70,26,4,339,3,0,0,1,2,413,412,75,0,0,337,2,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,75,0,75,22,0,0,0,0,1
291551,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,14,法学,110225843,100326395,,,法学,,0,四,5000,√×××,2293,30101,105,法学,法学类,2,2,416,414,75,0,0,339,2,0,0,2,5,413,411,74,0,0,337,5,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,74,0,79,0,52,30,61,0,1
291552,43143,2,3101,,北京大学,,5合格,A+A ,9,8,1,本科,2019,文科,本科第一批次,,,15,信息管理与信息系统,120326396,100326396,,,信息管理与信息系统,,36077,四,5000,√×××,293,120102,177,管理学,管理科学与工程类,1,1,410,410,71,21,5,339,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,A+,综合,北京,公办院校,0,0,0,0,0,0,0,0,0,0,1
