id,pcid,cid,招生代码,zstype,coname,conamememo,bdenji,选测等级,xdenjinuma,xdenjinumb,xdenjicanchange,diploma,yearno,ty,pici,source_pici,source_zscode,招生专业代码,specname,specflag,specnamememo,specnamememolq,specnamememoplan,招生计划增减,xuezi,xuefei,xuancei,sid,speccode,scateid,stypebig,stypesmall,计划招生,录取人数,最高分,最低分,分差,位次,segmenttotalman,linescore,zypingxing,zyzhengqiu,zyfucong,lastplannum,lastlqnum,2018最高分,2018最低分,2018分差,2018位次,lastsegmenttotalman,lastlinescore,lastzypingxing,lastzyzhengqiu,lastzyfucong,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,分差2019,位次2019,分差2018,位次2018,分差2017,位次2017,分差2016,位次2016,分差2015,位次2015,isok,zscode,xdenji,speccodenum,specflag_old,specnamememo_jiu,plannumupdown,plannum,lqnum,maxscore,minscore,minscoreminus,segmentposition,lastmaxscore,lastminscore,lastminscoreminus,lastsegmentposition,minscoreminus2019,segmentposition2019,minscoreminus2018,segmentposition2018,minscoreminus2017,segmentposition2017,minscoreminus2016,segmentposition2016,minscoreminus2015,segmentposition2015
326413,68153,1,,,清华大学,(北京),,,9,8,1,本科,2020,文科,本科第一批次,,,,文科试验班类,100326413,(经济、金融与管理),,,,四年,5000,√√√√,0,,0,,,,,,,,,0,343,1,0,0,1,1,,,,,20,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3103,A+A,01,310225900,(经济、金融与管理),0,1,1,429,429,86,0,411,411,72,1,72,1,77,0,86,0,55,0,0,0
326414,68153,1,,,清华大学,(北京),,,9,8,1,本科,2020,文科,本科第一批次,,,,法学,200326414,(含国际班),,,,四年,5000,√√√√,2293,030101,105,法学,法学类,,,,,,,0,343,1,0,0,0,0,,,,,0,0,0,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3103,A+A,02,0,(含国际班),36077,1,1,423,423,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
326388,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,文科试验班类,100326388,,,,,四年,5300,√×××,0,,0,,,,,,,,,0,343,4,0,0,1,3,,,,,20,339,3,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,07,310225852,,0,1,4,427,425,82,0,418,411,72,1,72,1,78,0,81,0,57,0,64,20
326389,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,中国语言文学类,100326389,,,,,四年,5000,√×××,2328,050100,113,文学,中国语言文学类,,,,,,,5,343,3,0,0,2,1,,,,,0,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,08,110225851,,0,2,3,422,420,77,17,412,412,73,0,73,0,75,0,76,19,55,0,59,0
326390,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,考古学,100326390,,,,,四年,5000,√×××,114,060103,116,历史学,历史学类,,,,,,,8,343,1,0,0,1,0,,,,,0,339,0,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,09,310225850,,0,1,1,417,417,74,34,0,0,0,0,0,0,71,0,72,28,0,0,0,0
326391,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,历史学类,100326391,,,,,四年,5000,√×××,2335,060100,116,历史学,历史学类,,,,,,,9,343,2,0,0,1,1,,,,,4,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,10,110225849,,0,1,2,418,418,75,25,409,409,70,26,70,26,72,0,72,28,52,30,59,0
326392,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,哲学类,100326392,,,,,四年,5000,√×××,3035,010100,100,哲学,哲学类,,,,,,,8,343,3,0,0,1,0,,,,,0,339,0,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,11,210225848,,0,1,3,417,417,74,34,0,0,0,0,0,0,71,0,0,0,0,0,0,0
326393,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,社会学类,100326393,,,,,四年,5000,√×××,2299,030300,107,法学,社会学类,,,,,,,9,343,3,0,0,1,1,,,,,20,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,12,220000813,,1,2,3,421,418,75,25,411,411,72,1,72,1,71,0,0,0,0,0,0,0
326394,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,国际政治,100326394,,,,,四年,5000,√×××,16,030202,106,法学,政治学类,,,,,,,8,343,4,0,0,1,3,,,,,4,339,3,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,13,110225842,,2,3,4,420,417,74,34,411,409,70,26,70,26,75,0,75,22,0,0,0,0
326395,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,法学,100326395,,,,,四年,5000,√×××,2293,030101,105,法学,法学类,,,,,,,0,343,3,0,0,2,2,,,,,0,339,2,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,14,110225843,,1,3,3,424,422,79,0,416,414,75,0,75,0,74,0,79,0,52,30,61,0
326396,68144,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,信息管理与信息系统,100326396,,,,,四年,5000,√×××,293,120102,177,管理学,管理科学与工程类,,,,,,,0,343,0,0,0,1,1,,,,,5,339,1,0,0,1,1,1,1,1,A+,综合,北京,公办院校,,,,,,,,,,,1,3101,A+A,15,120326396,,1,2,0,0,0,0,0,410,410,71,21,71,21,0,0,0,0,0,0,0,0
