id,pcid,cid,招生代码,zstype,coname,conamememo,bdenji,选测等级,xdenjinuma,xdenjinumb,xdenjicanchange,diploma,yearno,ty,pici,source_pici,source_zscode,招生专业代码,specname,specflag,specnamememo,specnamememolq,specnamememoplan,招生计划增减,xuezi,xuefei,xuancei,sid,speccode,scateid,stypebig,stypesmall,计划招生,录取人数,最高分,最低分,分差,位次,segmenttotalman,linescore,zypingxing,zyzhengqiu,zyfucong,lastplannum,lastlqnum,2018最高分,2018最低分,2018分差,2018位次,lastsegmenttotalman,lastlinescore,lastzypingxing,lastzyzhengqiu,lastzyfucong,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,分差2019,位次2019,分差2018,位次2018,分差2017,位次2017,分差2016,位次2016,分差2015,位次2015,isok,zscode,specialtynum,specialtynum3,havespace,xdenji,underlinecount,underlinecount_old,minscoregailv,minscoregailv_2020_toudang,minscoregailv_2020_xh,minscoregailv_2020_4,minscoregailv_2020_3,minscoregailv_2020_1,minscoregailv_2019_used,minscoregailv_2019,minscoregailv_2018,minscoregailv_other,minscoregailv_1,minscoregailv_2019_1,plannum,lqnum,maxscore,minscore,minscoreminus,segmentposition,lastmaxscore,lastminscore,lastminscoreminus,lastsegmentposition,plannumupdown,minscoreminus2018,segmentposition2018,minscoreminus2017,segmentposition2017,minscoreminus2016,segmentposition2016,minscoreminus2015,segmentposition2015,minscoreminus2019,segmentposition2019
68153,,1,,,清华大学,(北京),,,9,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,0,343,0,0,0,1,1,,,,,20,339,1,0,0,1,1,1,1,1,A+,理工,北京,公办,,,,,,,,,,,,3103,2,29,0,A+A,0,0,423,423,427,427,419,427,0,0,0,0,0,0,2,0,0,423,80,0,411,411,72,1,1,77,0,86,0,55,0,66,5,72,1
68144,,2,,,北京大学,,,,9,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,8,343,0,0,0,18,20,,,,,4,339,20,0,0,1,1,1,1,1,A+,综合,北京,公办,,,,,,,,,,,,3101,16,122,0,A+A,0,0,417,417,420,420,420,420,0,0,0,0,0,0,28,0,0,417,74,34,420,409,70,26,10,71,0,72,28,52,30,58,29,70,26
67687,,3,,,浙江大学,(杭州),,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,48,343,0,0,0,39,35,,,,,60,339,35,0,0,1,1,1,1,1,A+,综合,浙江,公办,,,,,,,,,,,,2201,6,39,0,AA,0,0,402,402,400,400,400,400,0,0,0,0,0,0,41,0,0,402,59,344,400,390,51,452,2,50,450,50,398,35,425,37,496,51,452
67571,,4,,,复旦大学,(上海),,,9,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,11,343,0,0,0,25,16,,,,,8,339,16,0,0,1,1,1,1,1,A+,综合,上海,公办,,,,,,,,,,,,2101,12,76,0,A+A,0,0,410,410,414,413,414,413,0,0,0,0,0,0,25,0,0,410,67,112,408,405,66,61,0,62,85,64,79,47,71,49,120,66,61
67056,,5,,,南京大学,,,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,48,343,0,0,0,135,179,,,,,51,339,179,0,0,1,1,1,1,1,A+,综合,江苏,公办,,,,,,,,,,,,1101,6,123,0,AA,0,0,403,0,401,401,401,401,0,0,0,0,0,0,121,0,0,403,60,296,403,391,52,401,-14,51,397,51,361,36,373,38,438,52,401
68806,,6,,,华中科技大学,(武汉),,,8,7,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,109,343,0,0,0,32,32,,,,,108,339,32,0,0,1,1,1,1,1,A+,综合,湖北,公办,,,,,,,,,,,,5202,8,120,0,AB+,0,0,392,392,392,392,392,392,0,0,0,0,0,0,31,0,0,392,49,1066,388,383,44,966,-1,41,1131,40,1068,25,1314,24,1713,44,966
67579,,7,,,上海交通大学,,,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,13,343,0,0,0,3,2,,,,,5,339,2,0,0,1,1,1,1,1,A+,综合,上海,公办,,,,,,,,,,,,2103,1,42,0,AA,0,0,413,413,421,421,419,421,0,0,0,0,0,0,2,0,0,413,70,68,411,410,71,21,-1,60,114,74,24,46,85,46,181,71,21
68802,,8,,,武汉大学,,,,8,7,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,75,343,0,0,0,42,42,,,,,63,339,42,0,0,1,1,1,1,1,A+,综合,湖北,公办,,,,,,,,,,,,5201,11,128,0,AB+,0,0,400,400,398,398,398,398,0,0,0,0,0,0,40,0,0,400,57,436,410,388,49,575,-2,49,507,47,548,33,540,36,561,49,575
68548,,9,,,吉林大学,(长春),,,8,7,0,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,165,343,0,0,0,34,34,,,,,159,339,34,0,0,1,1,1,1,1,A+,综合,吉林,公办,,,,,,,,,,,,4201,11,59,0,"历史A,另一门B+",0,0,387,387,385,385,385,385,0,0,0,0,0,0,39,0,0,387,44,1694,385,376,37,1816,5,36,1839,33,1942,22,1761,18,2747,37,1816
69037,,10,,,中山大学,(广州),,,8,8,1,本科,2020,文科,本科第一批次,,,,,,,,,,,,,,,,,,,,,,,,69,343,0,0,0,28,28,,,,,76,339,28,0,0,1,1,1,1,1,A+,综合,广东,公办,,,,,,,,,,,,5401,13,129,0,AA,0,0,396,396,396,396,396,396,0,0,0,0,0,0,27,0,0,396,53,692,394,386,47,728,-1,45,772,45,670,30,785,32,836,47,728
