id,coname,conamememo,diploma,yearno,ty,pici,一本线,lastplannum,lastlqnum,lastsegmenttotalman,2019一本线,lastzypingxing,is985,is211,isyan,is11c,is11s,collegelevel,collegetype,province,banxuetype,zscode,specialtynum,specialtynum3,xdenji,2020最低投挡线,minscoregailv_2020_xh,minscoregailv_2020_4,minscoregailv_2020_3,minscoregailv_2020_1,2020招生计划,2020招生计划变化,2020最高分,2020最低分,2020线差,2020位次,2019最高分,2019最低分,2019线差,2019位次,2018线差,2018位次,2017线差,2017位次,2016线差,2016位次,2015线差,2015位次
68153,清华大学,(北京),本科,2020,文科,本科第一批次,343,1,1,20,339,1,1,1,1,1,1,A+,理工,北京,公办,3103,2,29,A+A,423,427,427,419,427,2,1,0,423,80,0,411,411,72,1,77,0,86,0,55,0,66,5
68144,北京大学,,本科,2020,文科,本科第一批次,343,18,20,4,339,20,1,1,1,1,1,A+,综合,北京,公办,3101,16,122,A+A,417,420,420,420,420,28,10,0,417,74,34,420,409,70,26,71,0,72,28,52,30,58,29
67687,浙江大学,(杭州),本科,2020,文科,本科第一批次,343,39,35,60,339,35,1,1,1,1,1,A+,综合,浙江,公办,2201,6,39,AA,402,400,400,400,400,41,2,0,402,59,344,400,390,51,452,50,450,50,398,35,425,37,496
67571,复旦大学,(上海),本科,2020,文科,本科第一批次,343,25,16,8,339,16,1,1,1,1,1,A+,综合,上海,公办,2101,12,76,A+A,410,414,413,414,413,25,0,0,410,67,112,408,405,66,61,62,85,64,79,47,71,49,120
67056,南京大学,,本科,2020,文科,本科第一批次,343,135,179,51,339,179,1,1,1,1,1,A+,综合,江苏,公办,1101,6,123,AA,0,401,401,401,401,121,-14,0,403,60,296,403,391,52,401,51,397,51,361,36,373,38,438
68806,华中科技大学,(武汉),本科,2020,文科,本科第一批次,343,32,32,108,339,32,1,1,1,1,1,A+,综合,湖北,公办,5202,8,120,AB+,392,392,392,392,392,31,-1,0,392,49,1066,388,383,44,966,41,1131,40,1068,25,1314,24,1713
67579,上海交通大学,,本科,2020,文科,本科第一批次,343,3,2,5,339,2,1,1,1,1,1,A+,综合,上海,公办,2103,1,42,AA,413,421,421,419,421,2,-1,0,413,70,68,411,410,71,21,60,114,74,24,46,85,46,181
68802,武汉大学,,本科,2020,文科,本科第一批次,343,42,42,63,339,42,1,1,1,1,1,A+,综合,湖北,公办,5201,11,128,AB+,400,398,398,398,398,40,-2,0,400,57,436,410,388,49,575,49,507,47,548,33,540,36,561
68548,吉林大学,(长春),本科,2020,文科,本科第一批次,343,34,34,159,339,34,1,1,1,1,1,A+,综合,吉林,公办,4201,11,59,"历史A,另一门B+",387,385,385,385,385,39,5,0,387,44,1694,385,376,37,1816,36,1839,33,1942,22,1761,18,2747
69037,中山大学,(广州),本科,2020,文科,本科第一批次,343,28,28,76,339,28,1,1,1,1,1,A+,综合,广东,公办,5401,13,129,AA,396,396,396,396,396,27,-1,0,396,53,692,394,386,47,728,45,772,45,670,30,785,32,836
69173,四川大学,(成都),本科,2020,文科,本科第一批次,343,38,37,108,339,37,1,1,1,1,1,A+,综合,四川,公办,6101,13,140,AA,393,392,392,392,392,39,1,0,393,50,957,388,382,43,1074,41,1131,41,972,26,1197,27,1324
68623,哈尔滨工业大学,,本科,2020,文科,本科第一批次,343,8,8,159,339,8,1,1,1,1,1,A+,理工,黑龙江,公办,4301,6,50,AA,386,386,386,386,386,12,4,0,386,43,1859,382,376,37,1816,38,1534,34,1756,20,2097,18,2747
69384,西安交通大学,,本科,2020,文科,本科第一批次,343,2,3,273,339,3,1,1,1,1,1,A+,综合,陕西,公办,7104,2,14,"历史A,另一门B",392,380,380,380,388,3,1,0,392,49,1066,375,369,30,3201,44,848,44,741,25,1314,25,1593
68024,山东大学,(济南),本科,2020,文科,本科第一批次,343,46,45,102,339,45,1,1,1,1,1,A+,综合,山东,公办,2601,13,135,AA,392,390,390,390,390,44,-2,0,392,49,1066,387,381,42,1182,40,1260,38,1261,25,1314,1,8292
68283,天津大学,,本科,2020,文科,本科第一批次,343,0,0,0,0,0,1,1,1,1,1,A+,理工,天津,公办,3202,1,23,,0,0,0,0,0,0,36077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,1207
68918,中南大学,(长沙),本科,2020,文科,本科第一批次,343,24,23,141,339,23,1,1,1,1,1,A+,综合,湖南,公办,5302,5,71,AA,390,388,388,388,388,24,0,0,390,47,1300,382,378,39,1527,38,1534,36,1475,21,1920,17,2945
68280,南开大学,(天津),本科,2020,文科,本科第一批次,343,20,20,76,339,20,1,1,1,1,1,A+,综合,天津,公办,3201,5,63,AB+,397,396,396,396,396,22,2,0,397,54,620,390,386,47,728,46,686,45,670,30,785,32,836
68158,北京师范大学,,本科,2020,文科,本科第一批次,343,11,11,63,339,11,1,1,1,1,1,A+,师范,北京,公办,3104,6,42,AB+,401,398,398,398,398,15,4,0,401,58,392,398,389,50,512,48,583,46,602,32,617,33,754
67061,东南大学,(南京),本科,2020,文科,本科第一批次,343,42,47,76,339,47,1,1,1,1,1,A+,综合,江苏,公办,1102,3,41,"历史A,另一门B",0,396,396,396,396,40,-2,0,396,53,692,392,386,47,728,46,686,46,602,31,696,33,754
67887,厦门大学,,本科,2020,文科,本科第一批次,343,21,20,90,339,20,1,1,1,1,1,A+,综合,福建,公办,2411,10,100,AA,398,398,398,397,398,23,2,0,398,55,565,395,387,48,638,49,507,47,548,34,487,35,621
68164,北京航空航天大学,,本科,2020,文科,本科第一批次,343,0,0,0,0,0,1,1,1,1,1,A+,理工,北京,公办,3106,1,8,,0,0,0,0,0,0,36077,0,0,0,0,0,0,0,0,44,848,41,972,29,864,29,1104
67574,同济大学,(上海),本科,2020,文科,本科第一批次,343,17,17,44,339,17,1,1,1,1,1,A+,理工,上海,公办,2102,3,80,BB,399,403,402,402,402,17,0,0,399,56,511,408,394,55,270,53,313,48,489,35,425,38,438
69041,华南理工大学,(广州),本科,2020,文科,本科第一批次,343,11,11,122,339,11,1,1,1,1,1,A+,理工,广东,公办,5402,7,52,AB,392,388,388,388,388,11,0,0,392,49,1066,383,380,41,1284,40,1260,34,1756,16,2938,23,1882
68148,中国人民大学,(北京),本科,2020,文科,本科第一批次,343,31,31,22,339,31,1,1,1,1,1,A+,综合,北京,公办,3102,9,110,A+A,408,409,409,409,409,27,-4,0,408,65,143,407,400,61,128,58,154,59,135,43,138,40,346
68508,大连理工大学,,本科,2020,文科,本科第一批次,343,15,16,248,339,16,1,1,1,1,1,A+,理工,辽宁,公办,4131,3,41,AB,379,378,378,378,378,18,3,0,379,36,3107,378,368,29,3474,28,3417,26,3281,12,3964,10,4777
