date,open,high,close,low,volume,amount
1994/1/3,5.37,5.52,5.47,5.3,4382200,92778000
1994/1/4,5.52,5.78,5.77,5.48,5484200,120130000
1994/1/5,5.76,6.01,5.97,5.63,6998200,159193000
1994/1/6,5.96,6.21,6.04,5.92,9882300,233199000
1994/1/7,6.04,6.11,6.02,5.94,5338300,125196000
1994/1/10,6.13,6.32,6.32,6.1,5566200,134679000
1994/1/11,6.37,6.51,6.45,6.31,8029700,200278000
1994/1/12,6.47,6.61,6.49,6.42,4137600,105276000
1994/1/13,6.49,6.56,6.52,6.45,2857900,72407000
1994/1/14,6.5,6.52,6.13,6.04,12531000,303000000
1994/1/17,6.22,6.28,6.19,6.16,3920000,94934000
1994/1/18,6.16,6.16,5.97,5.84,4363800,101408000
1994/1/19,5.96,5.96,5.78,5.65,3562300,80388000
1994/1/20,5.65,5.92,5.89,5.53,4733800,107012000
1994/1/21,5.88,5.98,5.91,5.83,2720300,62777000
1994/1/24,6.06,6.15,6.13,6.01,3252600,77170000
1994/1/25,6.13,6.13,5.93,5.91,1985900,46475000
1994/1/26,5.88,6,5.9,5.86,910900,20941000
1994/1/27,5.9,6,5.99,5.9,725100,16829000
1994/1/28,5.96,5.99,5.9,5.77,1554400,35401000
1994/1/31,5.65,5.8,5.73,5.65,1986100,44149000
1994/2/1,5.65,5.72,5.6,5.59,1172400,25797000
1994/2/2,5.58,5.73,5.7,5.58,895400,19752000
1994/2/3,5.73,5.85,5.74,5.7,1267600,28454000
1994/2/4,5.75,5.87,5.83,5.74,1465700,33096000
1994/2/14,5.96,6.01,5.66,5.65,1131200,25731000
1994/2/15,5.66,5.7,5.62,5.57,620900,13586000
1994/2/16,5.65,5.7,5.65,5.63,356600,7876000
1994/2/17,5.65,5.68,5.57,5.56,473900,10306000
1994/2/18,5.63,5.74,5.64,5.61,837400,18488000
1994/2/21,5.63,5.65,5.51,5.49,493100,10684000
1994/2/22,5.55,5.73,5.65,5.49,892700,19632000
1994/2/23,5.65,5.65,5.57,5.55,296300,6453000
1994/2/24,5.57,5.58,5.52,5.47,760800,16312000
1994/2/25,5.57,6,5.92,5.57,4044100,91894000
1994/2/28,5.91,6.03,5.62,5.62,4565700,103006000
1994/3/1,5.65,5.77,5.61,5.55,1423600,31335000
1994/3/2,5.63,5.64,5.52,5.51,1057700,22959000
1994/3/3,5.5,5.65,5.54,5.45,1287700,27733000
1994/3/4,5.5,5.6,5.5,5.47,727300,15588000
1994/3/7,5.45,5.5,5.5,5.4,167900,3553000
1994/3/8,5.55,5.6,5.43,5.37,980000,20777000
1994/3/9,5.47,5.59,5.43,5.39,1617400,34365000
1994/3/10,5.45,5.68,5.34,5.27,3049900,65371000
1994/3/11,5.34,5.44,5.34,5.27,1345200,28004000
1994/3/14,5.65,5.73,5.72,5.53,3780500,82934000
1994/3/15,5.8,5.86,5.55,5.54,2420100,53513000
1994/3/16,5.52,5.75,5.65,5.5,1957500,43079000
1994/3/17,5.75,5.75,5.57,5.52,1658900,36388000
1994/3/18,5.54,5.95,5.82,5.53,7223600,162352000
1994/3/21,5.78,5.78,5.5,5.5,2440200,53570000
1994/3/22,5.45,5.54,5.5,5.45,712400,15249195
1994/3/23,5.51,5.52,5.34,5.34,1243700,26125474
1994/3/24,5.27,5.52,5.47,5.27,1688900,35499551
1994/3/25,5.65,5.8,5.38,5.34,5030600,109000000
1994/3/28,5.32,5.49,5.29,5.29,1355900,28310542
1994/3/29,5.32,5.52,5.37,5.3,733300,15291517
1994/3/30,5.47,5.47,5.32,5.3,666600,13849103
1994/3/31,5.33,5.37,5.3,5.27,502100,10372144
1994/4/1,5.3,5.3,5.26,5.21,487700,9983171
1994/4/4,5.14,5.26,5.13,5.09,920900,18422285
1994/4/5,5.14,5.19,5.13,5.12,371200,7420428
1994/4/6,5.13,5.14,5.08,5.04,431800,8562770
1994/4/7,5.06,5.11,4.97,4.92,472100,9277504
1994/4/8,4.93,4.98,4.91,4.88,897600,17205687
1994/4/11,4.75,4.85,4.61,4.57,958500,17551070
1994/4/12,4.59,4.96,4.93,4.44,2096900,38488122
1994/4/13,5,5,4.7,4.62,2710700,51243401
1994/4/14,4.62,4.73,4.59,4.59,1090200,19667471
1994/4/15,4.57,4.71,4.64,4.4,1655700,29398503
1994/4/18,4.6,4.6,4.45,4.45,631100,11120982
1994/4/19,4.4,4.44,4.21,4.17,814600,13774650
1994/4/20,4.12,4.28,4.06,3.99,2774400,44939196
1994/4/21,4.14,4.46,4.36,4.11,2839300,47517114
1994/4/22,4.36,4.44,4.21,4.15,2572000,43354752
1994/4/25,4.19,4.28,4.14,4.12,835900,13585539
1994/4/26,4.21,4.34,4.32,4.19,685200,11351018
1994/4/27,4.39,4.39,4.36,4.28,1153200,19530528
1994/4/28,4.42,4.42,4.24,4.24,1126800,19092175
1994/4/29,4.28,4.32,4.26,4.21,878800,14594281
1994/5/3,4.23,4.32,4.29,4.2,740900,12272848
1994/5/4,4.37,4.42,4.37,4.32,1058700,18013869
1994/5/5,4.33,4.34,4.17,4.12,755800,12414930
1994/5/6,4.17,4.21,4.13,4.06,502600,8069136
1994/5/9,4.21,4.23,4.12,4.06,452300,7270863
1994/5/10,4.18,4.21,4.16,4.1,346300,5590879
1994/5/11,4.21,4.21,4.12,4.12,350700,5706288
1994/5/12,4.08,4.14,4.07,4.01,409000,6517810
1994/5/13,4.06,4.08,4.08,4.02,329900,5199798
1994/5/16,3.98,4.02,3.93,3.87,1339700,20539702
1994/5/17,3.93,3.97,3.9,3.9,512700,7852249
1994/5/18,3.9,3.9,3.78,3.78,1087700,16263419
1994/5/19,3.67,4.03,4.03,3.66,6680800,98447896
1994/5/20,4.05,4.19,4.06,3.94,6356600,101000000
1994/5/23,4.1,4.14,3.99,3.98,2522600,39866383
1994/5/24,3.89,4.04,4.01,3.89,812700,12624418
1994/5/25,4.02,4.04,4.02,3.95,964200,15016928
1994/5/26,4.02,4.04,3.96,3.9,848200,13136091
1994/5/27,3.9,3.95,3.87,3.85,1097800,16658847
1994/5/30,3.82,3.84,3.72,3.72,1061000,15536160
1994/5/31,3.73,3.88,3.86,3.73,816300,12125362
1994/6/1,3.83,3.89,3.78,3.75,522300,7760237
1994/6/2,3.8,3.85,3.78,3.74,538400,8000756
1994/6/3,3.8,3.96,3.82,3.8,1272500,19202772
1994/6/6,3.85,3.87,3.83,3.8,480600,7160036
1994/6/7,3.83,3.83,3.76,3.73,520300,7644275
1994/6/8,3.72,3.81,3.81,3.72,307000,4524358
1994/6/9,3.8,3.82,3.74,3.73,331200,4851735
1994/6/10,3.72,3.78,3.72,3.71,376800,5480790
1994/6/13,3.69,3.71,3.65,3.65,655700,9374625
1994/6/14,3.65,3.7,3.66,3.62,498800,7075766
1994/6/15,3.67,3.69,3.69,3.65,283100,4047151
1994/6/16,3.69,3.71,3.71,3.65,292400,4197253
1994/6/17,3.72,3.87,3.85,3.7,1039900,15334160
1994/6/20,3.79,3.87,3.66,3.64,856900,12570955
1994/6/21,3.66,3.68,3.67,3.62,257900,3673337
1994/6/22,3.67,3.74,3.72,3.66,264300,3813528
1994/6/23,3.72,3.74,3.69,3.66,335300,4810693
1994/6/24,3.7,3.7,3.64,3.64,279700,3986189
1994/6/27,3.7,3.7,3.62,3.53,879700,12284490
1994/6/28,3.62,3.63,3.62,3.58,364300,5121077
1994/6/29,3.63,3.65,3.63,3.57,343100,4828156
1994/6/30,3.62,3.65,3.65,3.57,241300,3378495
1994/7/1,3.67,3.68,3.62,3.57,294500,4149590
1994/7/4,3.57,3.57,3.41,3.39,451400,6122730
1994/7/5,3.39,3.4,3.34,3.27,566200,7323139
1994/7/6,3.34,3.36,3.15,3.14,317700,4041170
1994/7/7,3.15,3.2,3.15,3.04,1090800,13238424
1994/7/8,3.16,3.29,3.26,3.13,791100,9841811
1994/7/11,3.24,3.26,3.13,3.13,843600,10459236
1994/7/12,3.13,3.16,3.13,3.11,268600,3276932
1994/7/13,3.16,3.21,3.2,3.13,254000,3134796
1994/7/14,3.21,3.23,3.14,3.13,591900,7350939
1994/7/15,3.13,3.15,2.95,2.95,639200,7580473
1994/7/18,2.88,2.88,2.78,2.77,687300,7534240
1994/7/19,2.78,2.85,2.8,2.7,566000,6094038
1994/7/20,2.81,2.81,2.72,2.7,464700,4994948
1994/7/21,2.68,2.7,2.63,2.62,833600,8639321
1994/7/22,2.59,2.62,2.51,2.5,859000,8602510
1994/7/25,2.47,2.62,2.62,2.47,1261400,12494362
1994/7/26,2.63,2.72,2.7,2.55,1899500,19509556
1994/7/27,2.7,2.71,2.54,2.54,1688700,17364712
1994/7/28,2.52,2.53,2.29,2.27,1491100,13973045
1994/7/29,2.27,2.3,2.23,2.19,1233400,10780863
