code,name,sgn,tim0
000001,上证指数,sz_inx,1994-1-1
000002,Ａ股指数,a_inx,1994-1-1
000003,Ｂ股指数,b_inx,1994-1-1
000008,综合指数,m_inx,1994-1-1
000009,上证380,sz300,2011-1-1
000010,上证180,sz180,2000-1-1
000011,基金指数,jj_inx,2001-1-1
000012,国债指数,gz_inx,2003-1-1
000016,上证50,sz50,2004-1-1
000017,新综指,new_inx,2006-1-1
000300,沪深300,hs300,2005-1-1
399001,深证成指,sc_inx,1994-1-1
399002,深成指R,sr_inx,1994-1-1
399003,成份Ｂ指,bc_inx,1994-1-1
399004,深证100R,s100r,2003-1-1
399005,中小板指,zx_inx,2009-1-1
399006,创业板指,cy_inx,2011-1-1
399100,深证新指数,sznew_inx,2006-1-1
399101,中小板综,zxm_inx,2006-1-1
399106,深证综指,szm_inx,2000-1-1
399107,深证Ａ指,sa_inx,2000-1-1
399108,深证Ｂ指,sb_inx,2000-1-1
399333,中小板R,zxr_inx,2007-1-1
399606,创业板R,cyr_inx,2011-1-1
