code,name,industry,area
300771,N智莱,电脑设备,深圳
002554,惠博普,石油开采,北京
300138,晨光生物,食品,河北
000551,创元科技,专用机械,江苏
002385,大北农,饲料,北京
300022,吉峰科技,农用机械,四川
000890,法 尔 胜,钢加工,江苏
600860,京城股份,专用机械,北京
600353,旭光股份,元器件,四川
300116,坚瑞沃能,电气设备,陕西
603609,禾丰牧业,饲料,辽宁
600868,梅雁吉祥,水力发电,广东
002758,华通医药,医药商业,浙江
002567,唐人神,饲料,湖南
002548,金新农,饲料,深圳
300238,冠昊生物,医疗保健,广东
600758,红阳能源,煤炭开采,辽宁
300540,深冷股份,专用机械,四川
300768,迪普科技,软件服务,浙江
002166,莱茵生物,中成药,广西
002274,华昌化工,农药化肥,江苏
002828,贝肯能源,石油开采,新疆
000702,正虹科技,饲料,湖南
300492,山鼎设计,建筑施工,四川
600192,长城电工,电气设备,甘肃
600213,亚星客车,汽车整车,江苏
300573,兴齐眼药,化学制药,辽宁
603068,博通集成,半导体,上海
300770,新媒股份,影视音像,广东
300769,德方纳米,化工原料,深圳
603317,天味食品,食品,四川
300023,宝德股份,专用机械,陕西
002783,凯龙股份,化工原料,湖北
000070,特发信息,通信设备,深圳
603533,掌阅科技,互联网,北京
601865,福莱特,玻璃,浙江
002100,天康生物,饲料,新疆
002631,德尔未来,家居用品,江苏
603681,永冠新材,化工原料,上海
603363,傲农生物,饲料,福建
600975,新五丰,农业综合,湖南
002547,春兴精工,通信设备,江苏
000610,西安旅游,旅游服务,陕西
600604,市北高新,园区开发,上海
300265,通光线缆,电气设备,江苏
002215,诺 普 信,农药化肥,深圳
300157,恒泰艾普,石油开采,北京
002726,龙大肉食,食品,山东
002054,德美化工,化工原料,广东
002211,宏达新材,橡胶,上海
002600,领益智造,元器件,广东
000900,现代投资,路桥,湖南
600175,美都能源,综合类,浙江
600759,洲际油气,石油开采,海南
300152,科融环境,环境保护,江苏
603711,香飘飘,软饮料,浙江
002157,正邦科技,饲料,江西
000595,宝塔实业,机械基件,宁夏
300087,荃银高科,种植业,安徽
002140,东华科技,建筑施工,安徽
603012,创力集团,专用机械,上海
000650,仁和药业,中成药,江西
300319,麦捷科技,元器件,深圳
600248,延长化建,建筑施工,陕西
600281,太化股份,化工原料,山西
603368,柳药股份,医药商业,广西
300212,易华录,软件服务,北京
603083,剑桥科技,通信设备,上海
603637,镇海股份,建筑施工,浙江
600503,华丽家族,区域地产,上海
600073,上海梅林,食品,上海
001696,宗申动力,摩托车,重庆
603466,风语筑,文教休闲,上海
300430,诚益通,电器仪表,北京
300341,麦克奥迪,电气设备,福建
603499,翔港科技,广告包装,上海
600217,中再资环,环境保护,陕西
002626,金达威,食品,福建
000529,广弘控股,食品,广东
000920,南方汇通,环境保护,贵州
002330,得利斯,食品,山东
300342,天银机电,元器件,江苏
600246,万通地产,区域地产,北京
002158,汉钟精机,工程机械,上海
603519,立霸股份,家用电器,江苏
000862,银星能源,新型电力,宁夏
002124,天邦股份,饲料,浙江
000876,新 希 望,饲料,四川
300106,西部牧业,农业综合,新疆
300164,通源石油,石油开采,陕西
002467,二六三,电信运营,北京
600179,安通控股,仓储物流,黑龙江
300145,中金环境,专用机械,浙江
300091,金通灵,机械基件,江苏
000721,西安饮食,酒店餐饮,陕西
002057,中钢天源,元器件,安徽
600871,石化油服,石油开采,北京
002607,中公教育,文教休闲,安徽
300369,绿盟科技,软件服务,北京
300006,莱美药业,化学制药,重庆
600303,曙光股份,汽车整车,辽宁
603899,晨光文具,文教休闲,上海
300158,振东制药,中成药,山西
002471,中超控股,电气设备,江苏
000159,国际实业,石油贸易,新疆
002840,华统股份,食品,浙江
000409,*ST地矿,综合类,山东
002122,*ST天马,机械基件,浙江
600732,ST新梅,区域地产,上海
000868,*ST安凯,汽车整车,安徽
300311,任子行,软件服务,广东
002088,鲁阳节能,矿物制品,山东
000982,*ST 中绒,纺织,宁夏
300205,天喻信息,元器件,湖北
002021,中捷资源,纺织机械,浙江
603003,龙宇燃油,石油贸易,上海
300049,福瑞股份,中成药,内蒙
002321,华英农业,农业综合,河南
603617,君禾股份,专用机械,浙江
002716,金贵银业,小金属,湖南
600996,贵广网络,影视音像,贵州
600895,张江高科,园区开发,上海
600863,内蒙华电,火力发电,内蒙
300128,锦富技术,元器件,江苏
300639,凯普生物,医疗保健,广东
603908,牧高笛,纺织,浙江
600330,天通股份,元器件,浙江
002288,超华科技,元器件,广东
600460,士兰微,半导体,浙江
300021,大禹节水,农业综合,甘肃
603421,鼎信通讯,通信设备,山东
002773,康弘药业,中成药,四川
603708,家家悦,超市连锁,山东
002946,新乳业,乳制品,四川
002662,京威股份,汽车配件,北京
300048,合康新能,电气设备,北京
002729,好利来,元器件,福建
603027,千禾味业,食品,四川
000836,富通鑫茂,通信设备,天津
002930,宏川智慧,仓储物流,广东
000859,国风塑业,塑料,安徽
002353,杰瑞股份,化工机械,山东
600805,悦达投资,综合类,江苏
601808,中海油服,石油开采,天津
603727,博迈科,石油开采,天津
601066,中信建投,证券,北京
