code,name,change,open,preclose,close,high,low,volume,amount
000001,上证指数,0.44,2819.7121,2815.1095,2827.6252,2828.4926,2800.6251,117062748,1326.3311
000002,Ａ股指数,0.44,2952.9993,2948.1774,2961.2966,2962.2164,2932.9738,116916526,1325.28
000003,Ｂ股指数,0.3,291.428,291.0133,291.8974,291.9461,290.4267,146222,1.0511
000008,综合指数,-0.18,2576.0351,2572.206,2567.5654,2577.9126,2546.0299,23009364,226.4701
000009,上证380,0.74,4667.1081,4656.4664,4690.8269,4696.9876,4648.9777,29484737,328.7108
000010,上证180,0.13,7513.523,7505.0188,7514.8211,7531.7455,7451.4965,42258075,511.1794
000011,基金指数,0.06,5797.6432,5797.2809,5800.502,5805.5513,5780.8144,26039432,304.475
000012,国债指数,0.03,165.8067,165.793,165.8411,165.8436,165.7939,150274,1.486
000016,上证50,-0.0,2475.9776,2471.2851,2471.2299,2477.8448,2448.8609,21373460,275.2853
000017,新综指,0.45,2380.7588,2376.8678,2387.4514,2388.1957,2364.6076,115947166,1306.2998
000300,沪深300,0.24,3464.9064,3459.1837,3467.5155,3474.1396,3437.2706,69548823,901.2745
000905,中证500,0.57,5114.1215,5107.5507,5136.5326,5141.713,5094.2862,52227669,545.6589
399001,深证成指,0.49,9176.29,9160.621,9205.426,9213.865,9123.22,16330055716,1933.4805
399002,深成指R,0.5,11052.889,11032.739,11087.982,11098.146999999999,10988.964,7014713833,887.7334
399003,成份Ｂ指,-0.21,5832.82,5842.226,5829.915,5859.840999999999,5805.729,5802965,0.3872
399004,深证100R,0.43,4807.196,4796.599,4817.145,4823.329000000001,4769.905,2597765132,399.2968
399005,中小板指,0.7,6363.228,6345.334,6389.767,6395.79,6328.5019999999995,1552138921,244.5552
399006,创业板指,0.7,1583.743,1581.93,1592.976,1594.001,1577.392,1343017237,201.8048
399008,中小300,0.63,1226.741,1223.738,1231.423,1232.211,1220.43,3327914748,401.9088
399100,新 指 数,0.6,7096.675,7088.559,7130.911999999999,7130.911999999999,7067.628000000001,16115505163,1926.5692
399101,中小板综,0.68,9289.419,9275.188,9338.381,9338.381,9258.97,6802589829,755.3327
399106,深证综指,0.71,1576.8470000000002,1574.5410000000002,1585.7779999999998,1585.7779999999998,1570.557,16330055716,1933.4805
399107,深证Ａ指,0.72,1648.626,1646.207,1658.017,1658.017,1642.036,16315222103,1932.5999
399108,深证Ｂ指,-0.39,1059.346,1059.265,1055.174,1061.433,1050.762,14833613,0.8805
399333,中小板R,0.7,7058.445,7038.597,7087.884,7094.565,7019.9259999999995,1552138921,244.5552
399606,创业板R,0.7,1657.996,1656.037,1667.662,1668.734,1651.348,1343017237,201.8048
