序号,name,industry,area,pe,outstanding,总股本,totalAssets,liquidAssets,fixedAssets,reserved,reservedPerShare,esp,bvps,pb,timeToMarket,undp,perundp,rev,profit,gpr,npr,holders,code,经营现金净流量对销售收入比例,rateofreturn,cf_nm,cf_liabilities,cashflowratio,roe,net_profit_ratio,gross_profit_rate,net_profits,eps,营业收入,bips,经营现金净流量,每股经营现金净流量,净资产,市价,总市值,市经营现金,changepercent,trade,open,high,low,settlement,volume,turnoverratio,amount,per,mktcap,nmc
2045,华夏航空,空运,贵州,0,0,0,548565.06,172783.7,292229.34,23364.48,0,0,0,0,0,49540.18,0,35.17,8.23,21.53,10.85,0,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,,
3517,润建通信,通信设备,广西,0,0,0,238683.97,227159.88,6207.73,20553.17,0,0,0,0,0,70067.05,0,21.16,33.88,25.32,8.62,0,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,,
3518,泰永长征,电气设备,贵州,0,0,0,43605.35,35037.03,0,0,0,0,0,0,0,0,0,0,0,0,18.51,0,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,,
3522,七一二,通信设备,天津,0,0,0,348015.5,277392.63,57633.35,63780.73,0,0,0,0,0,20558.85,0,0,0,49.57,8.39,0,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,,
3523,今创集团,运输设备,江苏,0,0,0,549317.25,394765.72,58971.98,43780.8,0,0,0,0,0,83832.84,0,0,0,38.62,19.57,0,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,,
3524,倍加洁,日用化工,江苏,0,0,0,57712.18,27994.39,11581.01,10501.5,0,0,0,0,0,16202.45,0,6.92,27.64,26.26,12.94,0,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,,
3525,江苏租赁,多元金融,江苏,0,0,0,4737941,0,56044.36,103792.31,0,0,0,0,0,186222.8,0,0,0,0,57.34,0,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,,
3528,华宝股份,食品,西藏,0,0,0,622079.06,457391.06,27562.1,235606.55,0,0,0,0,0,240958.8,0,-15.96,-9.13,78.44,52.24,0,,,,,,,,,,,,,,0,#DIV/0!,,,,,,,,,,,,,,,,
814,贵州茅台,白酒,贵州,33.87,12.56,12.56,12778004,10480329,1485118.38,137496.44,1.09,15.908,67.15,10.7,20010827,7327905.5,58.33,59.4,60.31,89.93,47.08,63980,600519,0.5368,0.1783,1.0667,0.5784,57.8585,23.68,47.07,89.9331,19983.847,15.9082,42450.4675,33.7928,22787410954,18.14 ,84340400000.00 ,718.51 ,902442280000.00 ,39.60 ,,,,,,,,,,,,
896,吉比特,互联网,福建,17.47,0.41,0.72,288663.47,216365.27,3251.11,100826.38,14.03,6.2,29.47,4.88,20170104,107679.77,14.98,15.73,-3.92,91.06,41.63,20285,603444,0.5059,0.1867,1.0026,0.8275,98.0916,20.97,41.63,91.0648,443.4593,6.1814,1065.1534,14.8474,538861105.1,7.48 ,2121840000.00 ,143.81 ,10354579200.00 ,19.22 ,,,,,,,,,,,,
