,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif
0,2005/4/8,984.66,1003.7,979.53,1003.45,14762500,,0,0,0,1003.45,984.66,,,,,,,,
1,2005/4/11,1003.88,1008.73,992.77,995.42,15936100,,-0.640569801,-0.12811396,-1.024911681,1003.88,995.42,,,,,,,,
2,2005/4/12,993.71,993.71,978.2,978.7,10226200,,-2.46892996,-0.59627716,-3.7453056,993.71,978.7,,,,,,,,
3,2005/4/13,987.95,1006.5,987.95,1000.9,16071700,,-2.102329743,-0.897487677,-2.409684133,1000.9,987.95,,,,,,,,
4,2005/4/14,1004.64,1006.42,985.58,986.97,12945700,,-2.902374249,-1.298464991,-3.207818516,1004.64,986.97,,,,,,,,
5,2005/4/15,982.61,982.61,971.93,974.08,10409000,,-4.524376363,-1.943647266,-5.161458195,982.61,974.08,,,,,,,,
6,2005/4/18,970.91,970.91,958.65,963.77,8598400,,-6.566066038,-2.86813102,-7.395870036,970.91,963.77,,,,,,,,
7,2005/4/19,962.92,968.87,957.91,965.89,9212620,,-7.921736683,-3.878852153,-8.085769061,965.89,962.92,,,,,,,,
8,2005/4/20,964.15,964.15,946.2,950.87,8850700,,-10.09177224,-5.12143617,-9.940672141,964.15,950.87,,,,,,,,
9,2005/4/21,948.86,955.55,938.59,943.98,9946150,,-12.22656623,-6.542462182,-11.36820809,948.86,943.98,,,,,,,,
10,2005/4/22,942.91,947.91,934.96,939.1,10691900,,-14.14907928,-8.063785602,-12.17058736,942.91,939.1,,,,,,,,
11,2005/4/25,935.99,935.99,920.16,930.07,11470500,,-16.21442051,-9.693912584,-13.04101586,935.99,930.07,,,,,,,,
12,2005/4/26,928.43,939.7,924.66,937.08,11690500,,-17.08858335,-11.17284674,-11.83147323,937.08,928.43,,,,,,,,
13,2005/4/27,938.57,938.91,925.9,926.6,10780600,,-18.41473847,-12.62122508,-11.58702678,938.57,926.6,,,,,,,,
14,2005/4/28,923.53,945.5,914.83,942.07,14343500,,-18.00982025,-13.69894412,-8.621752267,942.07,923.53,,,,,,,,
15,2005/4/29,940.81,942.45,929.81,932.4,11235400,,-18.25873253,-14.6109018,-7.295661452,940.81,932.4,,,,,,,,
