,candle_end_time,open,high,low,close,amount,info,DIF,DEA,MACD,max,min,price_new_high,price_new_low,DIF_new_high,DIF_new_low,last_peak_price,last_peak_dif,last_valley_price,last_valley_dif,state,signal
0,2005-04-08,984.66,1003.7,979.53,1003.45,14762500.0,,0.0,0.0,0.0,1003.45,984.66,,,,,,,,,,
1,2005-04-11,1003.88,1008.73,992.77,995.42,15936100.0,,-0.6405698005698923,-0.12811396011397846,-1.0249116809118277,1003.88,995.42,,,,,,,,,,
2,2005-04-12,993.71,993.71,978.2,978.7,10226200.0,,-2.468929959984166,-0.596277160088016,-3.7453055997923004,993.71,978.7,,,,,,,,,,
3,2005-04-13,987.95,1006.5,987.95,1000.9,16071700.0,,-2.1023297434570622,-0.8974876767618253,-2.409684133390474,1000.9,987.95,,,,,,,,,,
4,2005-04-14,1004.64,1006.42,985.58,986.97,12945700.0,,-2.9023742491016264,-1.2984649912297854,-3.207818515743682,1004.64,986.97,,,,,,,,,,
5,2005-04-15,982.61,982.61,971.93,974.08,10409000.0,,-4.524376363220881,-1.9436472656280046,-5.161458195185753,982.61,974.08,,,,,,,,,,
6,2005-04-18,970.91,970.91,958.65,963.77,8598400.0,,-6.566066038234794,-2.8681310201493626,-7.395870036170863,970.91,963.77,,,,,,,,,,
7,2005-04-19,962.92,968.87,957.91,965.89,9212620.0,,-7.921736683465269,-3.878852152812544,-8.08576906130545,965.89,962.92,,,,,,,,,,
8,2005-04-20,964.15,964.15,946.2,950.87,8850700.0,,-10.091772241027911,-5.121436170455618,-9.940672141144587,964.15,950.87,,,,,,,,,,
9,2005-04-21,948.86,955.55,938.59,943.98,9946150.0,,-12.226566227824605,-6.542462181929416,-11.368208091790379,948.86,943.98,,,,,,,,,,
10,2005-04-22,942.91,947.91,934.96,939.1,10691900.0,,-14.149079280410888,-8.06378560162571,-12.170587357570355,942.91,939.1,,,,,,,,,,
11,2005-04-25,935.99,935.99,920.16,930.07,11470500.0,,-16.214420512147626,-9.693912583730093,-13.041015856835067,935.99,930.07,,,,,,,,,,
12,2005-04-26,928.43,939.7,924.66,937.08,11690500.0,,-17.088583351688953,-11.172846737321866,-11.831473228734176,937.08,928.43,,,,,,,,,,
13,2005-04-27,938.57,938.91,925.9,926.6,10780600.0,,-18.41473847267787,-12.621225084393068,-11.587026776569601,938.57,926.6,,,,,,,,,,
14,2005-04-28,923.53,945.5,914.83,942.07,14343500.0,,-18.009820251541782,-13.698944117822812,-8.621752267437941,942.07,923.53,,,,,,,,,,
15,2005-04-29,940.81,942.45,929.81,932.4,11235400.0,,-18.25873252556289,-14.61090179937083,-7.295661452384124,940.81,932.4,,,,,,,,,,
16,2005-05-09,934.65,937.39,909.17,909.17,8529110.0,,-20.098777953635704,-15.708477030223804,-8.7806018468238,934.65,909.17,,,,,,,,,,
17,2005-05-10,905.54,913.39,892.31,913.08,10494300.0,,-20.99945425251167,-16.76667247468138,-8.46556355566058,913.08,905.54,,,,,,,,,,
18,2005-05-11,911.84,917.22,900.44,901.85,9042050.0,,-22.3616427573005,-17.885666531205203,-8.951952452190596,911.84,901.85,,,,,,,,,,
19,2005-05-12,899.97,900.06,883.51,885.82,10228700.0,,-24.452797366382356,-19.199092698240634,-10.507409336283445,899.97,885.82,,,,,,,,,,
20,2005-05-13,883.51,898.51,875.58,887.54,11244900.0,,-25.675294027441964,-20.4943329640809,-10.361922126722128,887.54,883.51,,,,,,,,,,
21,2005-05-16,885.39,885.39,869.33,875.27,8224289.0,,-27.31929803223295,-21.85932597771131,-10.919944109043279,885.39,875.27,,,,,,,,,,
22,2005-05-17,873.08,888.28,868.21,881.46,8772270.0,,-27.802215152428403,-23.04790381265473,-9.508622679547344,881.46,873.08,,,,,,,,,,
23,2005-05-18,881.14,890.4,871.82,883.2,7878610.0,,-27.724931242012644,-23.983309298526315,-7.483243886972659,883.2,881.14,,,,,,,,,,
24,2005-05-19,882.84,888.02,871.29,884.17,8149579.0,,-27.27104861998305,-24.64085716281766,-5.260382914330776,884.17,882.84,,,,,,,,,,
25,2005-05-20,883.51,891.02,879.18,882.76,7226679.0,,-26.717140028706467,-25.056113735995424,-3.3220525854220853,883.51,882.76,,,,,,,,,,
26,2005-05-23,880.28,880.28,862.1,863.34,7279800.0,,-27.527871018119868,-25.55046519242031,-3.954811651399112,880.28,863.34,,,,,,,,,,
27,2005-05-24,861.2,871.77,855.59,868.46,9206929.0,,-27.440918134975163,-25.928555780931283,-3.02472470808776,868.46,861.2,,,,,,,,,,
28,2005-05-25,867.66,876.3,861.66,868.45,7238560.0,,-27.060873361742324,-26.155019297093496,-1.8117081292976565,868.45,867.66,,,,,,,,,,
29,2005-05-26,867.76,872.84,854.96,857.33,6622789.0,,-27.3417969911269,-26.392374835900178,-1.8988443104534412,867.76,857.33,,,,,,,,,,
30,2005-05-27,855.59,864.96,848.4,849.51,7749979.0,,-27.874124085475273,-26.6887246858152,-2.3707987993201485,855.59,849.51,,,,1.0,,,,,,
31,2005-05-30,847.63,858.46,842.1,855.61,6971579.0,,-27.48692595044372,-26.848364938740907,-1.2771220234056244,855.61,847.63,,,,,,,,,,
32,2005-05-31,856.56,863.2,853.29,855.95,7047820.0,,-26.84320175974449,-26.847332302941624,0.008261086394270478,856.56,855.95,,1.0,,,,,,,,
33,2005-06-01,855.21,857.66,836.04,837.53,7902300.0,,-27.502355721336357,-26.978336986620572,-1.04803746943157,855.21,837.53,,,,,,,855.95,-26.84320175974449,,
34,2005-06-02,835.47,835.49,812.99,818.38,9508660.0,,-29.233005056243314,-27.42927060054512,-3.6074689113963885,835.47,818.38,,,,1.0,,,855.95,-26.84320175974449,,
35,2005-06-03,816.55,823.86,807.97,818.03,7936060.0,,-30.283707468990997,-28.0001579742343,-4.567098989513397,818.03,816.55,,,,1.0,,,855.95,-26.84320175974449,,
36,2005-06-06,816.73,839.15,807.78,839.0,9009189.0,,-29.088973376767967,-28.217921054741034,-1.7421046440538674,839.0,816.73,,1.0,,,,,855.95,-26.84320175974449,,
37,2005-06-07,841.58,858.09,835.18,837.28,13067100.0,,-27.95863785292613,-28.166064414378056,0.4148531229038497,841.58,837.28,,,,,,,839.0,-29.088973376767967,,
38,2005-06-08,848.54,908.83,844.47,905.77,32907800.0,,-21.290840643615184,-26.79101966022548,11.000358033220593,905.77,848.54,,,,,,,839.0,-29.088973376767967,,
39,2005-06-09,907.57,925.36,895.04,912.6,33141800.0,,-15.279309033543996,-24.488677534889185,18.418737002690378,912.6,907.57,,,,,,,839.0,-29.088973376767967,,
40,2005-06-10,911.94,911.94,889.1,894.56,22391500.0,,-11.834384734672994,-21.95781897484595,20.24686848034591,911.94,894.56,,,1.0,,,,839.0,-29.088973376767967,,
41,2005-06-13,895.0,900.18,877.69,892.96,15628000.0,,-9.12814051493433,-19.391883282863624,20.527485535858588,895.0,892.96,,,1.0,,,,839.0,-29.088973376767967,,
