,code,trade_date,pe,pe_ttm,pb,ps,ps_ttm,dv_ratio,dv_ttm,total_mv
0,300002,2020/12/11,,,2.8563,5.9917,3.6041,,,1064872.947
1,300002,2020/12/10,,,2.9299,6.1462,3.6971,,,1092328.235
2,300002,2020/12/9,,,2.9772,6.2455,3.7568,,,1109978.063
3,300002,2020/12/8,,,3.2034,6.72,4.0422,,,1194305.018
4,300002,2020/12/7,,,3.1613,6.6317,3.9891,,,1178616.2820000001
5,300002,2020/12/4,,,3.235,6.7862,4.082,,,1206071.57
6,300002,2020/12/3,,,3.235,6.7862,4.082,,,1206071.57
7,300002,2020/12/2,,,3.3402,7.0069,4.2148,,,1245293.41
8,300002,2020/12/1,,,3.3455,7.0179,4.2214,,,1247254.502
9,300002,2020/11/30,,,3.1613,6.6317,3.9891,,,1178616.2820000001
10,300002,2020/11/27,,,3.2402,6.7972,4.0887,,,1208032.662
11,300002,2020/11/26,,,3.2192,6.7531,4.0621,,,1200188.294
12,300002,2020/11/25,,,3.2402,6.7972,4.0887,,,1208032.662
13,300002,2020/11/24,,,3.2876,6.8965,4.1484,,,1225682.49
14,300002,2020/11/23,,,3.2402,6.7972,4.0887,,,1208032.662
15,300002,2020/11/20,,,3.2192,6.7531,4.0621,,,1200188.294
16,300002,2020/11/19,,,2.9141,6.1131,3.6771,,,1086444.959
17,300002,2020/11/18,,,2.8142,5.9034,3.551,,,1049184.211
18,300002,2020/11/17,,,2.8037,5.8814,3.5378,,,1045262.0279999999
19,300002,2020/11/16,,,2.9036,6.091,3.6639,,,1082522.775
20,300002,2020/11/13,,,2.9299,6.1462,3.6971,,,1092328.235
21,300002,2020/11/12,,,2.872,6.0248,3.6239999999999997,,,1070756.223
22,300002,2020/11/11,,,2.8878,6.0579,3.6439999999999997,,,1076639.499
23,300002,2020/11/10,,,2.9825,6.2565,3.7634,,,1111939.155
24,300002,2020/11/9,,,3.0351,6.3669,3.8298,,,1131550.075
25,300002,2020/11/6,,,2.9667,6.2234,3.7435,,,1106055.879
26,300002,2020/11/5,,,3.0035,6.3007,3.79,,,1119783.523
27,300002,2020/11/4,,,2.9036,6.091,3.6639,,,1082522.775
28,300002,2020/11/3,,,2.9615,6.2124,3.7369,,,1104094.787
29,300002,2020/11/2,,,2.8194,5.9145,3.5577,,,1051145.303
30,300002,2020/10/30,,,2.9246,6.1351,3.6904,,,1090367.143
31,300002,2020/10/29,,,3.1376,6.3779,4.6832,,,1133511.1670000001
32,300002,2020/10/28,,,3.1159,6.3338,4.6508,,,1125666.799
33,300002,2020/10/27,,,3.0996,6.3007,4.6265,,,1119783.523
34,300002,2020/10/26,,,3.1594,6.422000000000001,4.7156,,,1141355.535
35,300002,2020/10/23,,,3.1539,6.4110000000000005,4.7075,,,1139394.443
36,300002,2020/10/22,,,3.2082,6.5213,4.7886,,,1159005.363
37,300002,2020/10/21,,,3.2028,6.5103,4.7805,,,1157044.271
38,300002,2020/10/20,,,3.3114,6.731,4.9425,,,1196266.11
39,300002,2020/10/19,,,3.2516,6.6096,4.8534,,,1174694.098
