,2000/9/30,2020/6/30,2020/3/31,2019/12/31,2019/9/30,2019/6/30,2019/3/31,2018/12/31,2018/9/30,,,
基本每股收益(元),0.45,0.26,0.4,0.22,0.47,0.47,0.38,0.25,0.41,,,
每股净资产(元),14.88,14.5,14.55,14.07,13.82,13.78,13.45,12.82,12.54,,,
,15.17,12.8,,16.35,,,,,,,,
,68.95454545,0.0203125,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,2.18,1.45,
,,,,,,1940591.82,,,,,3.63,
,,,,,,1.452907289,,,,,0.239288069,
,,,281.95,288.26,384.3466667,,,,,,,
,,,3594,,,18.52012341,2.18,0.1962,0.01177098,,,
,,,12.74694095,,9.350933185,12.74694095,0.117709799,0.010593882,,,,
,,,,,,,,,,,,
,,,,,,,,,0.014504325,,,
,,,,,,,,,,,,
,,,,,,,,,0.053333333,,,
http://dcfm.eastmoney.com/EM_MutiSvcExpandInterface/api/js/get?callback=jQuery1123029087881510726166_1607775580358&st=ReportingPeriod&sr=-1&ps=50&p=1&type=DCSOBS&js=%7B%22data%22%3A(x)%2C%22pages%22%3A(tp)%7D&cmd=601216&token=894050c76af8597a853f5b408b759f5d,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,115.56,"17,720.66"
,,,,,,,,,,,0.006057459,
,,,,,,,0.016175413,,,,,
