数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx297
市场类型,日期,当日资金流入,当日余额,历史累计净买额,当日成交净买额,买入成交额,卖出成交额,领涨股_股票代码,领涨股_股票名称,领涨股_涨跌幅,上证指数_点数,上证指数_涨跌幅
沪股通,2021-07-19,2682.05,49317.95,709234.320000002,1175.15,29759.63,28584.48,sh600210,紫江企业,0.100671,3539.12,-5.08575141978049e-05
沪股通,2021-07-16,-1959.0,53959.0,708059.170000002,-3397.8,26902.12,30299.92,sh603565,中谷物流,0.100072,3539.3,-0.00709478509449894
沪股通,2021-07-15,10111.55,41888.45,711456.970000002,8600.3,34568.74,25968.44,sh600295,鄂尔多斯,0.100145,3564.59,0.0102281422700865
沪股通,2021-07-14,-3876.61,55876.61,702856.670000002,-5189.58,27591.08,32780.66,sh600811,东方集团,0.10163900000000001,3528.5,-0.0106602514495923
沪股通,2021-07-13,3072.38,48927.62,708046.250000002,1665.39,29391.82,27726.43,sh600010,包钢股份,0.10101000000000002,3566.52,0.00526517543068454
沪股通,2021-07-12,-359.160000000003,52359.16,706380.860000002,-1922.65,28601.97,30524.62,sh688202,美迪西,0.119539,3547.84,0.00673932845074899
沪股通,2021-07-09,1502.0,50498.0,708303.510000002,110.040000000001,29328.66,29218.62,sh600577,精达股份,0.10065400000000001,3524.09,-0.00039994327045805
沪股通,2021-07-08,-408.290000000001,52408.29,708193.470000002,-1633.64,27616.3,29249.94,sh688122,西部超导,0.107921,3525.5,-0.00794097452810008
沪股通,2021-07-07,1887.34,50112.66,709827.110000002,604.43,27247.19,26642.76,sh688366,昊海生科,0.199991,3553.72,0.00664540288817242
沪股通,2021-07-06,1928.29,50071.71,709222.680000002,757.239999999998,30950.37,30193.13,sh600673,东阳光科,0.10021800000000002,3530.26,-0.00114873582471308
沪股通,2021-07-05,4347.66,47652.34,708465.440000002,3149.54,27014.25,23864.71,sh603505,金石资源,0.10020300000000001,3534.32,0.00442201229978741
沪股通,2021-07-02,-4924.0,56924.0,705315.900000002,-6051.24,28379.4,34430.64,sh601866,中海集运,0.10137,3518.76,-0.0195108086870747
沪股通,2021-06-29,-1852.77,53852.77,711367.140000002,-2725.21,23102.09,25827.3,sh600252,中恒集团,0.101587,3573.18,-0.00920315996417452
沪股通,2021-06-28,-1856.93,53856.93,714092.350000001,-2165.43,12609.4,14774.83,sh688366,昊海生科,0.2,3606.37,-0.000329862843584044
沪股通,2021-06-25,8934.0,43066.0,716257.780000002,7554.89,30981.64,23426.75,sh601187,厦门银行,0.10032400000000001,3607.56,0.0114701470567619
沪股通,2021-06-24,3773.46,48226.54,708702.890000002,2602.23,24894.48,22292.25,sh600089,特变电工,0.10036199999999999,3566.65,0.000120575847816537
沪股通,2021-06-23,6229.4,45770.6,706100.660000002,5009.67,28341.05,23331.38,sh688298,东方生物,0.121526,3566.22,0.00247652083959958
沪股通,2021-06-22,-368.220000000001,52368.22,701090.990000002,-1459.62,25091.13,26550.75,sh600582,天地科技,0.101036,3557.41,0.00799902526932602
沪股通,2021-06-21,-597.75,52597.75,702550.610000002,-1755.63,23282.12,25037.75,sh600171,上海贝岭,0.100186,3529.18,0.00115741397407164
沪股通,2021-06-18,-150.0,52150.0,704306.240000002,-1818.2,29102.55,30920.75,sh600577,精达股份,0.10091699999999999,3525.1,-0.000141819832085319
沪股通,2021-06-17,-143.339999999997,52143.34,706124.440000001,-1353.7,21596.54,22950.24,sh688012,中微公司,0.164684,3525.6,0.00206632123763262
沪股通,2021-06-16,905.889999999999,51094.11,707478.140000001,-199.189999999999,24814.58,25013.77,sh600968,海油发展,0.10112399999999999,3518.33,-0.0107491508648807
沪股通,2021-06-15,-4448.27,56448.27,707677.330000001,-5608.09,22539.96,28148.05,sh688188,柏楚电子,0.124599,3556.56,-0.00924576920398358
沪股通,2021-06-11,-347.0,52347.0,713285.420000001,-3015.14,32747.34,35762.48,sh603806,福斯特,0.10005900000000001,3589.75,-0.00584625269326424
沪股通,2021-06-10,5287.58,46712.42,716300.560000001,4091.48,28028.82,23937.34,sh601919,中国远洋,0.10022,3610.86,0.00541849974940136
沪股通,2021-06-09,3951.9,48048.1,712209.080000001,2849.08,23620.72,20771.64,sh603208,江山欧派,0.1,3591.4,0.00315353438860816
沪股通,2021-06-08,687.959999999999,51312.04,709360.000000001,-397.43,25050.02,25447.45,sh603887,城地香江,0.100426,3580.11,-0.00539791195541648
沪股通,2021-06-07,-45.0999999999985,52045.1,709757.430000001,-1124.21,20700.2,21824.41,sh600171,上海贝岭,0.100248,3599.54,0.00214374805113808
沪股通,2021-06-04,2797.0,49203.0,710881.640000001,1653.75,26137.74,24483.99,sh600369,西南证券,0.10062900000000001,3591.84,0.00212878151670804
沪股通,2021-06-03,1087.42,50912.58,709227.890000001,-26.6999999999971,22371.99,22398.69,sh600663,陆家嘴,0.100402,3584.21,-0.00359452231495017
沪股通,2021-06-02,2342.41,49657.59,709254.590000001,1163.8,23154.85,21991.05,sh601068,中铝国际,0.10115600000000001,3597.14,-0.00760612573143787
沪股通,2021-06-01,1743.12,50256.88,708090.790000001,439.209999999999,24155.27,23716.06,sh601699,潞安环能,0.10019299999999999,3624.71,0.0025529113699979
沪股通,2021-05-31,2609.32,49390.68,707651.580000001,1316.19,23962.68,22646.49,sh688366,昊海生科,0.104353,3615.48,0.00408244880275935
沪股通,2021-05-28,740.0,51260.0,706335.390000001,-610.420000000002,23537.37,24147.79,sh600704,物产中大,0.10066000000000001,3600.78,-0.00223616941685016
沪股通,2021-05-27,8887.01,43112.99,706945.810000001,6337.88,37910.51,31572.63,sh600340,华夏幸福,0.10097099999999999,3608.85,0.00431072867733814
沪股通,2021-05-26,8243.32,43756.68,700607.930000001,6978.79,28405.33,21426.54,sh601377,兴业证券,0.100108,3593.36,0.00335628563610268
沪股通,2021-05-25,18327.61,33672.39,693629.140000001,16811.77,37736.95,20925.18,sh605199,葫芦娃,0.100138,3581.34,0.0240358221246225
沪股通,2021-05-24,1858.73,50141.27,676817.370000001,572.129999999997,19259.94,18687.81,sh600007,中国国贸,0.100216,3497.28,0.00307466385204908
沪股通,2021-05-21,-974.0,52974.0,676245.240000001,-2072.26,19329.17,21401.43,sh600956,新天绿能,0.100386,3486.56,-0.00581133409753235
沪股通,2021-05-20,-218.580000000002,52218.58,678317.500000001,-1485.14,24571.4,26056.54,sh603218,日月股份,0.10012900000000001,3506.94,-0.00114498598673866
沪股通,2021-05-17,3265.94,48734.06,679802.640000001,2331.6,24858.9,22527.3,sh600775,南京熊猫,0.100619,3517.62,0.007804307840407
沪股通,2021-05-14,6838.0,45162.0,677471.040000001,5569.59,25864.2,20294.61,sh601878,浙商证券,0.10044800000000001,3490.38,0.017739988453262
沪股通,2021-05-13,-2028.86,54028.86,671901.450000001,-3061.3,19050.54,22111.84,sh688019,安集科技,0.111565,3429.54,-0.00959064327485381
沪股通,2021-05-12,1700.22,50299.78,674962.750000002,503.02,20819.64,20316.62,sh600338,西藏珠峰,0.10034100000000001,3462.75,0.00607231576041957
沪股通,2021-05-11,-1783.37,53783.37,674459.730000001,-2930.32,22606.4,25536.72,sh600284,浦东建设,0.100329,3441.85,0.00404318565690102
沪股通,2021-05-10,1819.58,50180.42,677390.050000001,643.57,23545.92,22902.35,sh601005,重庆钢铁,0.101818,3427.99,0.0026675480495017
沪股通,2021-05-07,-114.0,52114.0,676746.480000001,-1282.29,26834.08,28116.37,sh600988,赤峰黄金,0.10012800000000001,3418.87,-0.00651211177236386
沪股通,2021-05-06,1701.27,50298.73,678028.770000002,583.059999999998,32348.6,31765.54,sh601005,重庆钢铁,0.101322,3441.28,-0.0016188647058482
沪股通,2021-04-30,-465.0,52465.0,677445.710000001,-1492.25,26878.06,28370.31,sh600223,鲁商发展,0.10034100000000001,3446.86,-0.00806929695818584
沪股通,2021-04-29,5941.1,46058.9,678937.960000001,4703.62,26410.87,21707.25,sh603687,大胜达,0.10057100000000001,3474.9,0.00515754670862896
沪股通,2021-04-28,2760.03,49239.97,674234.340000001,1416.75,22096.73,20679.98,sh688505,复旦张江,0.11990500000000001,3457.07,0.00420030151542
沪股通,2021-04-27,1917.7,50082.3,672817.590000001,792.540000000001,20260.16,19467.62,sh603517,绝味食品,0.100063,3442.61,0.00041846232531379
沪股通,2021-04-26,934.639999999999,51065.36,672025.050000001,-101.57,23014.22,23115.79,sh600521,华海药业,0.100251,3441.17,-0.00949867162516515
沪股通,2021-04-23,4916.0,47084.0,672126.620000001,3809.68,21789.83,17980.15,sh601038,一拖股份,0.100457,3474.17,0.00261463561041351
沪股通,2021-04-22,-1143.87,53143.87,668316.940000001,-2183.67,18418.3,20601.97,sh688185,康希诺,0.101092,3465.11,-0.00225170101326537
沪股通,2021-04-21,-986.050000000003,52986.05,670500.610000001,-2074.2,18382.47,20456.67,sh600185,格力地产,0.10058299999999999,3472.93,-2.87940476950891e-06
沪股通,2021-04-20,1800.81,50199.19,672574.810000001,680.580000000002,21115.84,20435.26,sh600556,天下秀,0.100402,3472.94,-0.00132564592888675
沪股通,2021-04-19,7787.52,44212.48,671894.230000001,6559.35,26260.53,19701.18,sh601238,广汽集团,0.10008900000000001,3477.55,0.014863042881907
沪股通,2021-04-16,4615.0,47385.0,665334.880000001,3313.7,20889.46,17575.76,sh600559,老白干酒,0.10024100000000001,3426.62,0.00812888534535262
沪股通,2021-04-15,1532.56,50467.44,662021.180000001,504.049999999999,18351.07,17847.02,sh600295,鄂尔多斯,0.100189,3398.99,-0.00518918729073498
沪股通,2021-04-14,2724.89,49275.11,661517.130000001,1540.66,18788.86,17248.2,sh603920,世运电路,0.10025700000000001,3416.72,0.00596207238691936
沪股通,2021-04-13,3513.58,48486.42,659976.470000001,2606.05,20917.58,18311.53,sh603129,春风动力,0.100015,3396.47,-0.00482866728197015
沪股通,2021-04-12,5253.36,46746.64,657370.420000001,4229.93,23137.63,18907.7,sh600025,华能水电,0.100694,3412.95,-0.0109340767616818
沪股通,2021-04-09,-629.099999999999,52629.1,653140.490000001,-1767.98,17982.23,19750.21,sh605198,德利股份,0.100147,3450.68,-0.00915134025354994
沪股通,2021-04-08,-256.980000000003,52256.98,654908.470000001,-1315.03,20421.63,21736.66,sh600860,京城股份,0.10093500000000001,3482.55,0.000839169681834009
沪股通,2021-04-07,-1530.34,53530.34,656223.500000001,-2674.47,24840.71,27515.18,sh600340,华夏幸福,0.10047800000000001,3479.63,-0.000958951699268065
沪股通,2021-03-31,-890.309999999998,52890.31,658897.970000001,-2008.7,21972.1,23980.8,sh601158,重庆水务,0.100511,3441.91,-0.00427288612194359
沪股通,2021-03-30,5576.06,46423.94,660906.670000001,4332.55,24629.86,20297.31,sh600273,嘉化能源,0.100559,3456.68,0.00622361948010353
沪股通,2021-03-29,-1563.91,53563.91,656574.120000001,-2639.59,22015.47,24655.06,sh600917,重庆燃气,0.10041,3435.3,0.00496441244701367
沪股通,2021-03-26,2670.0,49330.0,659213.710000001,1652.83,25611.97,23959.14,sh600917,重庆燃气,0.100338,3418.33,0.0162742783751883
沪股通,2021-03-25,2998.3,49001.7,657560.880000001,1996.58,22009.29,20012.71,sh600917,重庆燃气,0.100496,3363.59,-0.0010305726657677
沪股通,2021-03-24,6527.42,45472.58,655564.300000001,5499.8,26058.99,20559.19,sh601016,节能风电,0.100642,3367.06,-0.0130294209895326
沪股通,2021-03-23,-2099.61,54099.61,650064.500000001,-3095.93,20885.42,23981.35,sh601456,国联证券,0.100269,3411.51,-0.00927270404014585
沪股通,2021-03-22,3613.56,48386.44,653160.430000001,2406.36,24024.45,21618.09,sh600452,涪陵电力,0.1,3443.44,0.0113902709815371
沪股通,2021-03-19,-376.0,52376.0,650754.070000001,-2397.48,28011.62,30409.1,sh601991,大唐发电,0.100775,3404.66,-0.0168665374941888
