数据由邢不行整理，对数据字段有疑问的，可以直接微信私信邢不行，微信号：xbx297
市场类型,日期,当日资金流入,当日余额,历史累计净买额,当日成交净买额,买入成交额,卖出成交额,领涨股_股票代码,领涨股_股票名称,领涨股_涨跌幅,深证指数_点数,深证指数_涨跌幅
深股通,2021-07-19,5056.47,46943.53,722594.909999999,3198.99,36794.53,33595.54,sz300590,移为通信,0.2,14992.9,0.00138189352139734
深股通,2021-07-16,963.0,51037.0,719395.919999999,-746.639999999999,35789.36,36536.0,sz300672,国科微,0.19998300000000002,14972.21,-0.012994641160816
深股通,2021-07-15,5431.27,46568.73,720142.559999999,3797.87,36899.77,33101.9,sz300723,一品红,0.139071,15169.33,0.00750581815476825
深股通,2021-07-14,-3920.59,55920.59,716344.689999999,-5616.27,34621.59,40237.86,sz300233,金城医药,0.199876,15056.32,-0.00875419456735642
深股通,2021-07-13,2643.57,49356.43,721960.959999999,913.400000000001,37362.64,36449.24,sz300662,科锐国际,0.15974,15189.29,0.00183161055092104
深股通,2021-07-12,5417.87,46582.13,721047.559999999,3564.69,39499.03,35934.34,sz300188,美亚柏科,0.20011299999999999,15161.52,0.021365690403628
深股通,2021-07-09,1162.0,50838.0,717482.869999999,-321.279999999999,35214.75,35536.03,sz300079,数码科技,0.149834,14844.36,-0.00258954907981637
深股通,2021-07-08,1309.65,50690.35,717804.149999999,-67.4200000000055,35707.81,35775.23,sz300207,欣旺达,0.200127,14882.9,-0.00382528840264923
深股通,2021-07-07,5296.89,46703.11,717871.569999999,3768.24,35737.44,31969.2,sz300073,当升科技,0.200034,14940.05,0.0185714821392656
深股通,2021-07-06,560.400000000001,51439.6,714103.329999999,-817.400000000001,34232.85,35050.25,sz300455,康拓红外,0.200401,14667.65,-0.00346566874973674
深股通,2021-07-05,4031.7,47968.3,714920.729999999,2769.41,32349.5,29580.09,sz300390,天华超净,0.2,14718.66,0.00326841713863888
深股通,2021-07-02,-1225.0,53225.0,712151.319999999,-2551.28000000001,34317.38,36868.66,sz300748,金力永磁,0.2,14670.71,-0.0244812113668039
深股通,2021-06-29,593.610000000001,51406.39,714702.599999999,-414.009999999998,29683.84,30097.85,sz300166,东方国信,0.14868800000000001,14999.8,-0.00992530116823777
深股通,2021-06-28,-1557.15,53557.15,715116.609999999,-1889.88,15112.4,17002.28,sz300079,数码科技,0.200557,15150.17,0.00975216361133974
深股通,2021-06-25,8170.0,43830.0,717006.489999999,6548.16,35014.37,28466.21,sz300672,国科微,0.154726,15003.85,0.0148158919971864
深股通,2021-06-24,1841.9,50158.1,710458.329999999,494.950000000001,29187.0,28692.05,sz300118,东方日升,0.142401,14784.8,-0.00397673646222037
