本基金收益率数据由邢不行整理，包含了2008年-2021年所有主动偏股型基金，并剔除当年新上市基金，同一个基金的A类/C类份额中只取A类。,,,,,,,,,,,,,,
基金代码,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
620001.OF,-0.030650621,0.015615907,0.041380664,-0.250193948,0.018365235,0.0499111,0.298294424,0.136867604,-0.189886904,0.175113809,-0.15203168,0.207208123,0.322419548,-0.070423382
020018.OF,,0.050552638,-0.013907215,-0.014851485,0.04688443,0.021743578,0.094346414,0.269989283,-0.072562701,0.002004008,0.033,0.396103896,0.49509839,0.092750443
213001.OF,-0.474695229,0.093690971,0.01105354,-0.20942945,0.060717372,0.110613159,0.538884813,0.345649583,-0.233835252,0.190751445,-0.129433259,0.807527735,0.875457875,-0.01171733
202202.OF,-0.203812062,0.124407972,0.05544377,-0.01905132,0.032153936,0.017354911,0.15939054,0.168289902,0.011310173,0.044298651,-0.007198129,0.025596628,,
350001.OF,-0.359776759,0.179950187,0.064907652,-0.21382557,0.05988024,0.184210526,0.371876962,0.416582777,-0.229013909,0.303616028,-0.15093711,0.418326302,0.078716193,0.104966087
410006.OF,,0.2107,0.059320369,-0.328380783,0.039078023,0.062468128,0.352771779,0.482792265,-0.108213196,-0.019855111,-0.309197919,0.441747572,0.381708239,0.278896444
180002.OF,-0.056571277,0.214228116,-0.000231787,0.014101711,0.023788137,-0.000299106,0.140790205,0.091848251,-0.047646274,0.028890396,0.019362623,0.020181735,0.004392971,
540001.OF,-0.251617478,0.22252487,0.029545675,-0.09821751,-0.000214608,0.02325415,0.174629182,0.130328416,-0.017981245,-0.002925013,0.07079414,0.056724953,0.043177229,0.057686931
571002.OF,,0.241694848,0.07057033,-0.148447437,-0.018012477,0.077576951,0.18907249,0.669622905,-0.117319838,0.14987791,-0.246782178,0.343575419,0.396457943,0.092287505
110001.OF,-0.367378824,0.279544057,-0.033206339,-0.202308214,0.011914894,0.177039181,0.195063043,0.621626324,-0.112177621,0.197609902,-0.175256652,0.398091934,0.451874863,0.242258048
217002.OF,-0.272648123,0.289170289,-0.003198976,-0.220929425,0.045140678,0.092594419,0.284273714,0.183811797,-0.131245486,0.078031516,-0.156506618,0.313251632,0.331698102,0.12532869
420003.OF,,0.312667429,0.111615815,-0.289097368,0.07264574,0.002747252,0.417986897,0.314264113,0.174496644,0.08244898,-0.26460533,0.41676352,0.648313468,-0.049393015
580002.OF,-0.434677359,0.332044199,0.230029034,-0.256307739,0.072415752,0.142466237,0.073670956,0.348881231,-0.361468624,0.013102119,-0.370736655,0.535160184,0.852080326,0.011590916
